label_zcta label_County Fraction
0 44 1.0
1 44 1.0
2 44 1.0
3 44 0.9812130476130297
3 37 0.01878695238697029
4 44 1.0
5 44 1.0
6 44 1.0
7 44 1.0
8 44 1.0
9 44 1.0
10 44 1.0
11 44 1.0
12 44 1.0
13 44 1.0
14 44 1.0
15 44 1.0
16 44 1.0
17 44 1.0
18 44 1.0
19 44 1.0
20 44 1.0
21 44 1.0
22 44 1.0
23 44 1.0
24 44 1.0
25 44 1.0
26 44 1.0
27 44 1.0
28 44 1.0
29 44 1.0
30 44 1.0
31 44 1.0
32 44 1.0
33 44 1.0
34 44 1.0
35 44 1.0
36 44 1.0
37 44 1.0
38 44 1.0
39 44 1.0
40 44 1.0
41 44 1.0
42 44 1.0
43 44 1.0
44 44 1.0
45 44 1.0
46 44 1.0
47 44 1.0
48 44 1.0
49 56 1.0
50 56 1.0
51 56 1.0
52 56 1.0
53 56 1.0
54 56 1.0
55 56 1.0
56 56 1.0
57 56 1.0
58 56 1.0
59 56 1.0
60 56 1.0
61 16 0.9999653349005101
61 44 3.4665099489773476e-05
62 16 1.0
63 16 0.9995921896899874
63 44 0.00040781031001259956
64 16 0.9990953091269745
64 44 0.0009046908730255647
65 16 1.0
66 16 1.0
67 16 1.0
68 16 1.0
69 16 1.0
70 16 1.0
71 16 1.0
72 16 1.0
73 16 0.9304335576139497
73 44 0.06956644238605021
74 16 0.9996347946390345
74 11 0.0003652053609654116
75 16 1.0
76 11 0.002117120670996958
76 16 0.9978828793290031
77 16 0.9982152532829662
77 11 0.0017847467170338438
78 44 0.004546518695656075
78 16 0.9954534813043441
79 16 1.0
80 16 0.9927172206672552
80 11 0.007282779332744787
81 16 0.9993698427620197
81 11 0.0006301572379802994
82 16 1.0
83 16 1.0
84 16 1.0
85 16 1.0
86 11 1.0
87 11 1.0
88 11 1.0
89 11 1.0
90 11 1.0
91 11 1.0
92 11 1.0
93 11 0.00114246401107501
93 53 0.998857535988925
94 11 1.0
95 11 1.0
96 53 0.9984086037339505
96 27 0.0015752667148537375
96 11 1.6129551195855547e-05
97 11 1.0
98 27 0.002680604599961418
98 53 0.9973193954000384
99 11 1.0
100 11 1.0
101 11 0.9761160808472519
101 53 0.023883919152748012
102 11 1.0
103 11 1.0
104 11 1.0
105 11 0.0005867065093943552
105 53 0.9994132934906056
106 11 1.0
107 11 1.0
108 11 1.0
109 11 1.0
110 11 1.0
111 11 1.0
112 11 1.0
113 11 1.0
114 53 0.8179393172714446
114 11 0.18206068272855525
115 11 1.0
116 53 0.964260269671307
116 11 0.03573973032869298
117 11 1.0
118 11 1.0
119 11 1.0
120 11 1.0
121 11 1.0
122 11 1.0
123 11 0.9948104613416013
123 16 0.005189538658398577
124 11 1.0
125 11 1.0
126 11 0.9994194169233481
126 53 0.0005805830766519258
127 11 1.0
128 11 1.0
129 53 0.0003279270576337735
129 11 0.9996720729423663
130 11 1.0
131 11 1.0
132 11 1.0
133 11 1.0
134 11 1.0
135 11 0.0014538822955698655
135 53 0.9985461177044301
136 11 1.0
137 11 1.0
138 11 0.7662656302997906
138 53 0.23373436970020947
139 11 0.999666588455805
139 53 0.0003334115441949825
140 11 1.0
141 11 1.0
142 11 1.0
143 11 1.0
144 11 1.0
145 11 1.0
146 11 1.0
147 11 1.0
148 11 1.0
149 11 1.0
150 11 1.0
151 11 1.0
152 11 1.0
153 11 1.0
154 11 1.0
155 16 0.002499190581060214
155 11 0.9975008094189397
156 16 0.0021970363258491596
156 11 0.9978029636741508
157 11 1.0
158 11 1.0
159 11 1.0
160 11 1.0
161 11 1.0
162 11 1.0
163 11 0.9983084944834806
163 16 0.0016915055165195388
164 11 1.0
165 11 1.0
166 57 1.0
167 49 1.0
168 57 1.0
169 49 1.0
170 49 1.0
171 49 1.0
172 49 1.0
173 49 1.0
174 49 1.0
175 57 1.0
176 49 1.0
177 49 0.9999136455957737
177 57 8.635440422643602e-05
178 57 1.0
179 49 1.0
180 49 1.0
181 49 1.0
182 57 1.0
183 49 1.0
184 49 1.0
185 57 1.0
186 49 1.0
187 49 1.0
188 49 0.9515812226199029
188 4 0.048418777380097144
189 49 1.0
190 49 1.0
191 57 1.0
192 49 1.0
193 57 1.0
194 57 1.0
195 49 1.0
196 57 1.0
197 57 1.0
198 4 0.00108409166356238
198 49 0.9989159083364376
199 57 1.0
200 57 1.0
201 57 1.0
202 49 1.0
203 57 1.0
204 49 1.0
205 57 1.0
206 49 1.0
207 57 1.0
208 57 1.0
209 49 1.0
210 57 0.9994874987545549
210 49 0.0005125012454450352
211 57 1.0
212 57 1.0
213 49 0.9999964525811114
213 4 3.5474188886190244e-06
214 49 0.0007127599007391151
214 57 0.9992872400992608
215 49 0.9985944946295597
215 57 0.0014055053704402523
216 49 1.0
217 57 1.0
218 49 1.0
219 49 1.0
220 57 1.0
221 57 1.0
222 49 1.0
223 49 1.0
224 43 0.8793884070156398
224 54 0.12061159298436022
225 43 0.9932810511309528
225 54 0.0067189488690472445
226 43 1.4834504446601795e-05
226 54 0.9999851654955534
227 43 0.000856381912050528
227 54 0.9991436180879494
228 43 1.0
229 43 0.9999917146190427
229 54 8.28538095729987e-06
230 54 0.0008443204752823911
230 43 0.9991556795247175
231 43 1.0
232 43 1.0
233 43 1.0
234 43 0.9659044590730241
234 54 0.03409554092697581
