zcta area pop
292 2.47 34555.0
293 2.5 42252.0
294 1.09 13532.0
295 2.38 41047.0
296 2.63 109931.0
297 1.07 38615.0
298 1.42 39688.0
299 0.001 0.0
300 0.74 66636.0
301 1.53 100820.0
302 0.93 43600.0
303 1.98 68733.0
304 2.55 89830.0
305 2.55 34981.0
306 2.07 34821.0
307 3.61 98592.0
308 1.17 18556.0
309 1.65 34882.0
310 3.1 38912.0
311 2.3 26148.0
312 0.57 19341.0
313 0.67 24861.0
314 1.12 28967.0
315 1.63 36256.0
316 1.13 47211.0
317 2.08 44354.0
318 1.29 39127.0
319 1.97 30425.0
320 1.41 29987.0
321 1.35 17590.0
322 1.58 23593.0
323 0.83 19168.0
324 1.3 25105.0
325 7.12 184.0
326 2.15 60809.0
327 1.55 32687.0
328 3.24 59129.0
329 1.51 53687.0
330 0.79 17949.0
331 0.001 0.0
332 2.05 19148.0
333 1.08 7406.0
334 0.84 2653.0
335 4.25 33048.0
336 0.9 4673.0
337 0.87 7556.0
338 1.37 10549.0
339 5.09 43341.0
340 7.1 27273.0
341 6.66 27633.0
342 11.48 12065.0
343 0.43 793.0
344 0.91 2780.0
345 0.07 2922.0
346 4.26 56435.0
347 3.41 23616.0
348 3.5 26034.0
349 6.25 38132.0
350 0.06 17.0
351 2.02 7823.0
352 1.5 8370.0
353 4.18 8176.0
354 7.5 6464.0
355 3.9 37280.0
356 2.4 22666.0
357 1.12 8690.0
358 5.45 35321.0
359 8.92 4555.0
360 0.39 1398.0
361 3.68 26646.0
362 4.78 30574.0
363 1.78 16272.0
364 4.55 12366.0
365 3.05 12337.0
366 1.12 5055.0
367 3.91 40113.0
368 2.69 20844.0
369 6.68 45768.0
370 1.33 10480.0
371 1.99 13328.0
372 2.83 60035.0
373 1.0 18540.0
374 1.0 11916.0
375 1.37 20408.0
376 2.22 4079.0
377 4.77 27109.0
378 9.13 14498.0
379 3.12 16415.0
380 8.06 40222.0
381 3.55 8030.0
382 17.04 62543.0
383 1.51 6669.0
384 4.89 34496.0
385 5.05 10401.0
386 4.32 22658.0
387 1.69 4752.0
388 8.74 10700.0
389 10.92 60745.0
390 0.95 3103.0
391 5.99 3589.0
392 8.15 29189.0
393 2.49 6292.0
394 7.29 35177.0
395 3.86 3220.0
396 9.76 29150.0
397 2.57 19857.0
398 9.1 29030.0
399 6.27 28032.0
400 7.61 14712.0
401 8.38 30184.0
402 1.53 3430.0
403 11.84 18949.0
404 10.46 32098.0
405 5.33 17638.0
406 0.83 1223.0
407 3.71 9454.0
408 7.48 27655.0
409 5.0 13261.0
410 25.37 42230.0
411 23.88 67094.0
412 13.16 19803.0
413 2.19 3345.0
414 4.0 14961.0
415 3.71 9531.0
416 3.88 12014.0
417 7.33 18958.0
418 3.24 12387.0
419 5.52 42791.0
420 6.8 45700.0
421 11.0 53804.0
422 3.09 22360.0
423 13.85 28506.0
424 9.18 13200.0
425 2.45 737.0
426 6.17 12635.0
427 4.17 14530.0
428 15.13 21902.0
429 4.42 9506.0
430 0.44 137.0
431 10.7 10007.0
432 16.19 44837.0
433 6.9 24235.0
434 4.36 8968.0
435 6.85 12709.0
436 12.55 38421.0
437 11.51 15524.0
438 5.54 15814.0
439 3.54 21288.0
440 5.47 24655.0
441 5.79 6344.0
442 15.03 35772.0
443 8.58 16821.0
444 1.7 7895.0
445 7.16 18511.0
446 12.98 25076.0
447 9.85 8523.0
448 9.49 32298.0
449 0.28 3165.0
450 5.68 26030.0
451 1.46 4056.0
