label_zcta label_subcounty Fraction
0 963 1.0
1 963 1.0
2 963 1.0
3 294 5.190343406550585e-09
3 963 0.9999999948096566
4 963 1.0
5 963 1.0
6 963 1.0
7 963 1.0
8 963 1.0
9 963 1.0
10 963 1.0
11 963 1.0
12 963 1.0
13 963 1.0
14 963 1.0
15 963 1.0
16 963 1.0
17 963 1.0
18 963 1.0
19 963 1.0
20 963 1.0
21 963 1.0
22 963 1.0
23 963 1.0
24 963 1.0
25 963 1.0
26 963 1.0
27 963 1.0
28 963 1.0
29 963 1.0
30 963 1.0
31 963 1.0
32 963 1.0
33 963 1.0
34 963 1.0
35 963 1.0
36 963 1.0
37 963 1.0
38 963 1.0
39 963 1.0
40 963 1.0
41 963 1.0
42 963 1.0
43 963 1.0
44 963 1.0
45 963 1.0
46 963 1.0
47 963 1.0
48 963 1.0
49 472 1.0
50 472 1.0
51 472 1.0
52 472 1.0
53 472 1.0
54 472 1.0
55 472 1.0
56 472 1.0
57 472 1.0
58 472 1.0
59 472 1.0
60 472 1.0
61 806 0.9999999909330011
61 963 9.066998892994737e-09
62 806 0.9999999900602669
62 963 9.939733149692509e-09
63 806 0.999999995408867
63 963 4.59113303307698e-09
64 963 7.1739858208789145e-09
64 806 0.9999999928260142
65 806 1.0
66 806 1.0
67 806 1.0
68 806 1.0
69 806 1.0
70 806 1.0
71 806 1.0
72 806 1.0
73 963 0.07381376363298278
73 806 0.9261862363670172
74 806 0.9987522431230206
74 887 0.0012477568769794663
75 806 1.0
76 24 0.0009124145154635355
76 806 0.9990875852664849
76 887 2.1805158089101517e-10
77 59 1.7672764326479434e-09
77 806 0.9999999982327235
78 806 0.999999994742198
78 963 5.257802039417716e-09
79 806 1.0
80 806 0.999492709320934
80 59 0.0005072883268758426
80 24 2.352190046292514e-09
81 59 4.615550107351851e-09
81 806 0.9999999953844498
82 806 1.0
83 806 1.0
84 806 1.0
85 806 0.9999150993088842
85 887 8.490069111571505e-05
86 366 0.999931993706568
86 100 6.800629343194688e-05
87 876 1.0
88 876 1.0
89 620 0.0036497300122060646
89 264 0.9780425525797071
89 992 0.0029643100236818104
89 460 0.011293442285282786
89 875 0.004049965099122273
90 366 1.0
91 183 0.05252121302886461
91 264 0.35292845568797526
91 620 0.5945503312831601
92 620 0.9997633936512575
92 923 0.00023660634874251026
93 366 4.985333067058622e-12
93 35 3.3549697966453154e-10
93 612 0.1514125569104935
93 176 0.0008754914161914365
93 545 0.8477119513328327
94 169 0.5747967845236756
94 992 0.4113539868496925
94 460 0.013849228626631961
95 868 0.003137401050635883
95 31 0.9968625989493641
96 35 0.2709557045200073
96 612 0.056399468944814006
96 545 0.025243599379839176
96 267 0.037311215082844254
96 574 3.365480149544014e-07
96 125 0.6100713327240933
96 366 1.8342800386836762e-05
97 100 0.02272722255026935
97 264 0.0023521626281871938
97 923 6.69873940469508e-05
97 460 0.8691749461584997
97 992 0.10567868126899696
98 125 6.08922753526415e-10
98 574 6.950296152253535e-11
98 267 0.10641869892709782
98 501 1.0133275178133662e-09
98 36 0.8935812993811489
99 31 1.0
100 183 0.0077313172108267
100 600 0.9702100769171639
100 620 0.022058605872009338
101 35 7.09698114918068e-09
101 366 0.08694978898677433
101 545 4.693953820883073e-09
101 176 0.9130501992222906
102 31 0.8448982927317163
102 100 0.1531816035737382
102 169 0.00011846295585831045
102 460 0.0018016407386872177
103 876 1.0
104 992 0.0005267821233440785
104 876 0.9994732178766559
105 31 0.0006547846308035041
105 267 0.01066299153329711
105 36 0.9886822238358995
106 600 0.9847502213776512
106 366 0.01274460277366486
106 176 0.0005070033992860125
106 620 0.001998172449397867
107 366 0.9999999998885191
107 100 1.1148099571895673e-10
108 418 0.0007549783558789664
108 415 0.01697574708112257
108 928 0.008139606991439821
108 954 0.0021919493439730843
108 875 0.9719377182275856
109 876 0.9993526411055647
109 2 0.0003251877036881117
109 928 0.0003221711907472125
110 876 0.0004023580010263183
110 992 0.9995976419989736
111 876 1.0
112 100 1.0
113 100 2.9763944743528166e-05
113 366 0.424832537270551
113 620 0.4546001224453673
113 600 0.12053757633933805
114 31 0.1814263164851735
114 36 7.095981405068378e-09
114 267 0.8185736764188453
115 954 0.9689975965742884
115 768 0.031002391150562334
115 2 1.2275149266571488e-08
116 267 0.047640117273097964
116 125 4.2921973667875726e-10
116 100 0.0004189807655273994
116 366 0.035323117143025336
116 35 0.9166177843891297
117 415 0.00024491315572183243
117 954 0.7082804467203839
117 875 0.0021172077539462564
117 418 0.2891698465663673
117 2 0.000187585803580685
118 169 0.9935320918198952
118 460 0.006467908180104862
119 100 0.009494416840063268
119 460 0.9905055831599369
120 31 0.15378649004628336
120 100 0.8462135099537167
121 868 0.0002860929076895957
121 31 0.9997139070923104
122 923 0.15481191256443175
122 460 0.33278704418473504
122 100 0.047707839916570564
122 620 0.4601296688549681
122 264 2.4350188269161222e-05
122 366 0.004539184291025401
123 24 0.9941821536805352
123 806 0.00015297986077677538
123 887 0.001597494085136847
123 59 0.004067372373551068
124 24 0.9962175756803426
124 768 6.849072751200228e-13
124 887 0.0005418840668846787
124 688 0.0015963282309971612
124 59 0.0016442120210906803
125 24 0.9982427864623076
125 887 0.0017572135376924321
126 545 1.4244365919120171e-10
126 176 0.9779752587297391
126 600 0.022024741127817108
127 100 0.3027850252235804
127 31 0.009745877572113365
127 169 0.40116525493917465
127 460 0.28630384226513167
128 31 0.012345374297889252
128 868 0.9876546257021106
129 31 0.9771954327637343
129 868 0.0009381360872778812
129 36 3.305230214731309e-08
129 100 0.021866398096685776
130 460 0.0008191194029615488
130 264 0.00016800739029084233
130 169 0.001989271404704525
130 992 0.9970236018020432
131 875 0.004593019846260073
131 415 0.012718593393947038
131 418 0.9826883867597929
132 620 0.0236245408939317
132 600 0.02851350339305946
132 264 0.0007264956720082669
132 183 0.9471354600410005
133 928 3.706580928817014e-10
133 418 0.002218427115291697
133 875 0.9977815725140503
134 600 0.0003585760975278983
134 366 0.9129284109105995
134 176 0.08671301299187258
135 35 4.514103171688347e-10
135 31 0.00016287406240322755
135 125 4.2703151902330915e-10
135 267 0.9989698646547917
135 36 1.0011029647423298e-09
135 100 0.0008672594032603794
136 928 0.00010780935739249651
136 418 0.0022286543792560984
136 875 0.3106341733396586
136 415 0.6870293629236928
137 876 0.2489020617783719
137 928 0.0007891314074558238
137 2 0.5364109054116606
137 875 0.00024212281353129024
137 59 0.03517889608559425
137 688 0.10006217325093747
137 954 0.018879510788018472
137 768 0.05953519846443026
138 35 4.288322704656844e-09
138 100 0.7656686675218911
138 267 0.2343313281897862
139 600 0.002719930772998315
139 176 0.03596828717040284
139 366 0.9613116726471302
139 35 1.0940946835026755e-07
140 600 0.9932993703185975
140 176 0.00012526221552029254
140 183 0.0065753674658821405
141 876 0.4209377125767798
141 992 0.5790622874232203
142 992 1.0
143 992 0.89869568309065
143 876 0.0888894108753699
143 264 0.012414906033980067
144 31 1.0
145 176 0.004827854370310951
145 600 0.9951721456296891
146 460 8.399258063941435e-05
146 100 0.828913927794456
146 366 0.17034397230191162
146 620 0.0005225253885499388
146 31 0.00013558193444287523
147 875 0.00028456185403784816
147 928 0.9997154381459621
148 264 0.20028847938446395
148 992 0.002640176351823231
148 928 0.20963425990789175
148 876 0.587437084355821
