Subcounty	Area	Pop
107	18.7144488824	1275
108	8.41102589153	27648
109	140.831811841	1710
110	94.3643666422	1200
111	37.492325057	972
112	33.7010400976	548
113	23.0409407123	255
114	54.1537865935	4936
115	92.7760430146	1218
116	37.7330411211	1466
117	36.2594959656	1109
118	46.9836987076	2749
119	39.6302355379	884
120	37.0636715278	25327
121	61.3160566861	4272
122	47.8185979504	2077
123	46.2366581333	6817
124	41.9495077806	2557
125	43.3259100591	13539
126	41.0844543578	2052
127	54.3602947926	3388
128	47.9912809116	973
129	175.222062541	1139
130	45.0936722745	2005
131	30.9813978415	2564
132	46.7767592326	1967
133	45.0964834832	998
134	32.9103101514	1755
135	58.835464464	4744
136	42.265616824	1291
137	67.4923512288	4470
138	20.2787183554	73585
139	36.4703115186	1190
140	6.59712410096	18131
141	1.83874243495	34
142	44.5794029434	1708
143	38.205958928	1171
144	45.5708881689	3076
145	37.1210041999	3054
146	53.1186772475	2340
147	34.1936325041	13221
148	9.38741259829	26870
149	49.355785843	2714
150	64.1626755348	11757
151	41.3459457983	801
152	25.4956969191	7027
153	35.790746902	4681
154	65.1932277189	4414
155	31.9936240803	2788
156	35.8207072589	8026
157	150.345427669	751
158	31.1199760269	2544
159	57.9723272654	2268
160	95.0865858773	5439
161	24.6262620107	789
162	47.6452439439	2245
163	22.1343087372	11402
164	42.0237459288	1581
165	97.2936769561	3740
166	33.4570695797	12495
167	29.1916181595	368
168	55.016506802	1029
169	15.7376186787	37686
170	63.7052635842	2109
171	36.0263351454	7680
172	36.9548602622	1925
173	39.1570961084	8067
174	87.0962416669	229
175	40.420253898	2109
176	22.938751482	5115
177	43.0213165079	3362
178	107.464348813	2200
179	33.9337294872	2198
180	55.0510586839	2010
181	40.2319728021	3415
182	89.719010159	7306
183	23.0878598273	5114
184	33.4134103238	2865
185	32.2213393178	808
186	4.96368484078	11902
187	39.1451875644	1688
188	36.5181055408	1350
189	48.9459849022	3054
190	34.5018639083	1170
191	29.636629286	3543
192	43.7202854527	3038
193	32.6101390125	6214
194	65.4010170045	4473
195	53.4805594551	9666
196	36.0697608096	1769
197	29.9597441501	3197
198	61.8845370547	1843
199	7.41200511333	8439
200	51.9850578372	667
201	51.8510970456	7675
202	35.5503586385	3170
203	34.7915655054	3815
204	32.4127312375	8483
205	1.31858234563	6601
206	141.40440574	1651
207	43.9450072415	5721
208	41.2881474872	1366
209	28.868687466	4081
210	35.2271804536	5605
211	59.2694230347	4866
212	105.862781501	10995
213	20.3195108039	555
214	293.459149434	56882
215	28.1434458244	12660
216	45.2279064264	2931
217	33.6319205036	21638
218	33.3336053571	3617
219	0.933589230572	2617
220	25.4844497678	1055
221	120.416399477	3480
222	63.6032407639	12791
223	69.1943401964	226700
224	67.1733842585	731
225	43.5736527935	4038
226	53.6295195372	30694
227	38.0161955866	2642
228	112.357778534	1298
229	20.0370493916	2071
230	27.3200667071	18652
231	156.617024927	1102
232	44.8258838965	4853
233	92.3780954052	6996
234	24.1747863784	942
235	30.2243954494	2605
236	88.4450812819	5028
237	44.6270367333	11967
238	34.2455863892	1943
239	32.4978976167	10132
240	31.5288248401	2094
241	30.5208071131	4630
242	31.1722847398	2473
243	59.9153770862	1878
244	41.1316985707	16262
245	36.0599287221	221
246	37.5995417214	669
247	5.33204313727	28113
248	57.7433656906	4654
249	35.5622814682	2665
250	17.3600667733	2639
251	42.3461519096	1799
252	32.4560074802	2388
253	51.0447921308	8610
254	34.0841208494	4869
255	14.5151568121	1684
256	44.4105833189	1467
257	73.9808887755	21847
258	41.6159442242	1526
259	25.6873027393	2603
260	50.0591107906	2564
261	41.4571925954	1627
262	51.9136818631	2525
263	26.2738800946	395
264	26.1814519091	11885
265	33.4503232194	1253
266	44.4370120008	2839
267	42.7137364577	11813
268	103.451986095	16035
269	75.655574154	33738
270	2.7014595546	8834
271	30.7840746228	6636
272	36.1786427319	1726
273	34.5284520503	11327
274	0.799990216532	0
275	30.1190498353	523
276	49.3442661037	3629
277	51.7159937781	2080
278	51.4018789516	2136
279	95.2695406961	3773
280	126.406276252	1022
281	22.590184388	939
282	51.9842852471	2978
283	47.0904091923	4881
284	58.9574425801	5194
285	67.9634084102	19486
286	47.3738709949	2407
287	105.765453295	551
288	36.3228097438	1969
289	64.7985353355	4092
290	97.6171860304	5561
291	56.08710703	2564
292	33.9093448293	867
293	36.084154306	1151
294	96.8510774227	2510335
295	58.536659354	3360
296	6.03860825286	314
297	34.104544873	1493
298	23.8563773254	1524
299	37.2647561521	5185
300	54.6708381757	1956
301	59.3837760224	1319
302	36.3179560555	1815
303	47.9734051612	1096
304	35.9969145591	1110
305	78.899852966	1537
306	38.3701244791	1150
307	47.1503619526	3042
308	93.424249199	549
309	98.668657607	12059
310	71.2027234949	4393
311	35.8707159621	2471
312	33.5114987647	710
313	84.3743484362	4070
314	73.3839804889	2021
315	47.0647106293	84388
316	53.7755676381	3339
317	36.1450622826	1902
318	47.1135482852	3034
319	4.86576744307	5274
320	4.87567288988	14632
321	99.673226671	4972
322	40.672908236	2403
323	31.2342857711	1583
324	162.762284977	335936
325	35.9201999528	19470
326	39.1588107874	549
327	18.5831085651	2306
328	6.07102537678	30053
329	37.5516148802	1803
330	64.7335010868	2792
331	41.1156124031	325
332	50.286730661	3820
333	83.1973292306	192
334	37.4835454837	1146
335	30.287343589	19946
336	17.1813513544	2378
337	65.4727192347	1253
338	35.7078650884	2177
339	52.4194426645	2719
340	30.7049144464	3508
341	36.2071590673	1699
342	24.7386802412	2065
343	42.7752691474	1863
344	197.983215597	781
345	43.2577267625	232
346	49.4324131903	3145
347	41.2703848647	7149
348	67.0945074809	1217
349	62.6227721868	27501
350	79.6191181347	699
351	46.6728958641	4389
352	35.8684105471	1356
353	39.2426478174	877
354	111.065477765	309
355	46.441930806	3926
356	33.2669398274	706
357	25.5001614165	2512
358	50.4079682334	2778
359	56.4404946075	1922
360	104.446590639	1245
361	36.5275689008	7633
362	59.8368852523	8852
363	52.9343000289	1366
364	182.03099718	3091
365	32.6921397414	986
366	32.2610811828	20476
367	105.709518312	19872
368	3.98902207945	14691
369	40.1763992108	999
370	56.1183978944	6675
371	142.175844099	2078
372	80.2511331317	799
373	87.4971043464	15282
374	31.9437261883	4261
375	56.31255276	817
376	28.5989330566	18192
377	60.7197893289	2588
378	34.4541841723	1658
379	45.2356161111	4786
380	36.1177119753	882
381	37.7405118087	1265
382	33.2854738817	10833
383	24.3600145657	1668
384	24.2990274382	2633
385	49.8821251087	32384
386	4.82435028153	8666
387	32.3979497086	859
388	47.3303086507	2056
389	33.8320101431	14186
390	71.4491913205	7186
391	23.6512938427	2082
392	35.9306019267	14232
393	60.4749010466	3015
394	45.7085628757	3113
395	36.4544419542	1286
396	49.8639659595	33673
397	38.1254995184	4977
398	75.618989059	5589
399	20.9797830619	3235
400	35.9897056487	56286
401	28.7225501756	2394
402	39.7097667583	5857
403	47.3987409831	2399
404	60.5713327238	2203
405	44.7264966085	1132
406	33.4776202447	3520
407	35.8030172236	3237
408	5.27629039457	15412
409	48.7591736967	1513
410	160.274025155	807
411	48.4051513674	6838
412	33.9022359192	2364
413	42.8660745462	1373
414	34.6553996852	6992
415	20.0228026139	15740
416	36.1072335531	1355
417	43.5811315892	14724
418	7.33481405708	45983
419	2.32973715139	6717
420	87.6041499676	2498
421	44.1257585762	4251
422	26.8540404347	1475
423	41.7794479964	2730
424	37.2455954543	1863
425	59.0516634372	3891
426	35.8332065389	760
427	51.3824723068	4333
428	90.2123288234	2725
429	25.3505422583	8444
430	45.0046047208	4508
431	36.1672496341	13203
432	41.5695397831	1559
433	76.0341656979	1434
434	16.8241633749	51544
435	1.62720525729	0
436	95.877802698	12370
437	46.9881338613	5192
438	41.9401463516	9031
439	27.2562760929	1176
440	53.1668913486	7404
441	71.866217388	1388
442	50.4706785341	3940
443	48.8860155396	2410
444	60.4180645156	2589
445	34.8201880188	1819
446	38.0321678541	2174
447	60.0836098357	6648
448	63.866611749	3152
449	64.6589266438	21824
450	26.1105284466	3642
451	24.5246681497	1302
452	53.5835274531	122366
453	55.7890470969	2707
454	44.1766595611	2339
455	48.813331452	1661
456	0.91770846921	5213
457	39.4475737705	1678
458	47.6679811046	1828
459	27.1495158011	1705
460	23.4510397238	17575
461	28.8792801743	12347
462	81.5266573823	2410
463	35.8782851057	2191
464	10.977235846	66149
465	36.339624872	1103
466	31.3329182297	49319
467	4.23625786192	16162
468	38.5087547883	29077
469	36.2285128245	2005
470	36.5285086731	2022
471	58.7872743012	35286
472	102.866921488	469645
473	33.1400995289	9681
474	3.89435874939	33345
475	115.696444613	1880
476	30.7019024647	14614
477	11.1262920676	47313
478	35.9455012168	2303
479	3.91401867713	19165
480	86.6092133763	3486
481	33.8957717996	9464
482	25.3609345797	4938
483	49.155005081	5928
484	156.430876658	8940
485	65.3125054376	78
486	69.5326763597	857
487	40.1150684525	9331
