O D W
9 29 154
9 30 28
9 31 133
9 32 12
9 33 38
9 34 7
9 35 30
9 36 45
9 37 49
9 38 6
9 39 4
9 40 17
9 41 220
9 42 135
9 43 104
9 44 315
9 45 11
9 46 128
9 47 210
9 48 35
9 49 103
9 50 4
9 51 22
9 52 36
9 53 8
9 54 59
9 55 558
9 56 9
9 57 29
9 58 37
9 59 3349
9 60 411
9 61 40
10 0 14
10 1 621
10 2 128
10 3 109
10 4 8
10 5 12
10 6 119
10 7 11
10 8 11
10 9 2
10 10 10040
10 11 103
10 12 20
10 13 131
10 14 139
10 15 57
10 16 8
10 17 109
10 18 38
10 19 549
10 20 84
10 21 97
10 22 14
10 23 26
10 25 47
10 26 5
10 27 22
10 28 1064
10 30 11
10 31 14
10 32 108
10 33 2
10 35 11
10 36 45
10 37 20
10 38 6
10 39 155
10 40 24
10 41 13774
10 42 9
10 43 76
10 44 344
10 45 152
10 46 103
10 47 884
10 48 3583
10 49 51
10 50 40
10 51 348
10 52 18
10 53 1
10 54 55
10 55 5
10 56 4
10 57 20
10 58 24
10 59 40
10 60 28
10 61 6
11 0 7
11 1 33
11 2 25
11 3 6850
11 4 216
11 5 15
11 6 158
11 7 456
11 8 130
11 9 15
11 10 5
11 11 137346
11 12 3
11 13 2
11 14 1311
11 15 14
11 16 22260
11 17 275
11 18 11
11 19 19
11 20 36
11 21 61
11 22 28
11 23 15
11 24 130
11 25 46
11 26 35
11 27 2878
11 28 504
11 29 10
11 30 11
11 31 19
11 32 7
11 33 63
11 34 7
11 35 18
11 36 20
11 37 6583
11 38 3
11 39 19
11 40 56
11 41 672
11 42 38
11 43 11192
11 44 84569
11 45 50
11 46 228
11 47 772
11 48 63
11 49 2440
11 51 41
11 52 93
11 53 2694
11 54 9778
11 55 336
11 56 1185
11 57 5956
11 58 17
11 59 405
11 60 222
11 61 34
12 0 15
12 1 23
12 2 133
12 3 53
12 4 2
12 5 6
12 6 46
12 7 7
12 8 4
12 10 69
12 11 59
12 12 4093
12 13 14
12 14 76
12 15 110
12 16 5
12 17 56
12 18 221
12 19 27
12 20 42
12 21 38
12 22 2
12 23 4
12 25 17
12 27 13
12 28 2642
12 30 2
12 31 7
12 32 1255
12 33 3
12 35 2
12 36 26
12 37 13
12 38 6
12 39 772
12 40 8
12 41 1592
12 42 3
12 43 38
12 44 148
12 45 105
12 46 40
12 47 192
12 48 206
12 49 17
12 50 77
12 51 19
12 52 7
12 54 35
12 55 2
12 56 6
12 57 8
12 58 13
12 59 23
12 60 8
12 61 4
13 0 186
13 1 108
13 2 287
13 3 15
13 4 3
13 5 20
13 6 88
13 7 6
13 8 3
13 9 1
