O D W
38 22 18
38 23 31
38 24 4
38 25 4
38 26 6
38 27 15
38 28 56
38 29 13
38 30 12
38 31 18
38 32 2
38 33 3
38 34 17
38 35 120
38 36 1370
38 37 9
38 38 2334
38 39 4
38 40 32
38 41 61
38 42 9
38 43 15
38 44 49
38 45 13
38 46 525
38 47 355
38 48 24
38 49 11
38 50 2
38 51 162
38 52 13
38 53 1
38 54 7
38 55 26
38 56 1
38 57 2
38 58 224
38 59 35
38 60 16
38 61 6
39 0 25
39 1 34
39 2 581
39 3 65
39 4 4
39 5 4
39 6 66
39 7 13
39 8 6
39 9 2
39 10 108
39 11 85
39 12 611
39 13 26
39 14 118
39 15 137
39 16 8
39 17 75
39 18 143
39 19 51
39 20 63
39 21 73
39 22 8
39 23 7
39 24 1
39 25 19
39 26 9
39 27 11
39 28 1915
39 29 2
39 30 6
39 31 13
39 32 449
39 33 5
39 35 16
39 36 33
39 37 14
39 38 3
39 39 5784
39 40 16
39 41 8291
39 42 4
39 43 77
39 44 227
39 45 191
39 46 74
39 47 329
39 48 947
39 49 27
39 50 72
39 51 36
39 52 11
39 53 1
39 54 39
39 55 7
39 56 7
39 57 12
39 58 16
39 59 36
39 60 17
39 61 6
40 0 10
40 1 47
40 2 38
40 3 148
40 4 15
40 5 68
40 6 153
40 7 13
40 8 27
40 9 4
40 10 59
40 11 122
40 12 6
40 13 6
40 14 280
40 15 15
40 16 31
40 17 245
40 18 13
40 19 123
40 20 20
40 21 64
40 22 561
40 23 23
40 24 9
40 25 230
40 26 24
40 27 30
40 28 431
40 29 29
40 30 18
40 31 21
40 32 13
40 33 6
40 34 1
40 35 142
40 36 116
40 37 46
40 38 21
40 39 21
40 40 6929
40 41 596
40 42 22
40 43 94
40 44 383
40 45 58
40 46 3067
40 47 7381
40 48 102
40 49 85
40 50 3
40 51 325
40 52 192
40 53 3
40 54 88
40 55 30
40 56 17
40 57 29
40 58 25
40 59 71
40 60 53
40 61 27
41 0 56
41 1 454
41 2 647
41 3 736
41 4 33
41 5 63
41 6 560
41 7 61
41 8 99
41 9 5
41 10 3307
41 11 963
41 12 210
41 13 198
41 14 1402
41 15 266
41 16 95
41 17 838
41 18 285
41 19 455
41 20 467
41 21 555
41 22 95
41 23 74
41 24 12
41 25 183
41 26 39
41 27 163
41 28 10174
41 29 18
41 30 36
41 31 89
41 32 1615
41 33 14
41 34 3
41 35 77
41 36 347
41 37 327
41 38 38
41 39 2032
41 40 167
41 41 229100
41 42 55
41 43 713
41 44 3653
41 45 1287
41 46 714
41 47 4390
41 48 8777
41 49 359
41 50 717
41 51 513
41 52 90
41 53 13
41 54 514
41 55 69
41 56 48
41 57 164
41 58 133
41 59 340
41 60 224
41 61 31
42 0 2
42 1 21
42 2 13
42 3 120
42 4 17
42 5 10
42 6 22
42 7 48
42 8 124
42 9 27
42 10 4
42 11 96
42 12 3
42 13 6
42 14 1445
42 15 5
42 16 28
42 17 91
42 18 3
42 19 14
42 20 12
42 21 21
42 22 58
42 23 33
42 24 57
42 25 19
42 26 19
42 27 81
42 28 100
42 29 15
42 30 12
42 31 1692
42 32 3
42 33 29
42 34 10
42 35 309
42 36 44
42 37 45
42 38 7
42 39 7
42 40 41
42 41 177
42 42 5495
42 43 94
42 44 261
42 45 7
42 46 287
42 47 290
42 48 30
42 49 81
42 51 23
42 52 207
42 53 7
42 54 66
42 55 226
42 56 8
42 57 36
42 58 34
42 59 1046
42 60 1754
42 61 344
43 0 1
43 1 16
43 2 24
43 3 62127
43 4 468
43 5 24
43 6 121
43 7 335
43 8 212
43 9 11
43 10 11
43 11 11551
43 12 1
43 13 1
43 14 1334
43 15 35
43 16 7704
43 17 286
43 18 29
43 19 17
43 20 54
43 21 80
43 22 20
43 23 45
43 24 82
43 25 82
43 26 56
43 27 993
43 28 830
43 29 1
43 30 8
43 31 21
43 32 13
43 33 62
43 35 15
43 36 26
43 37 21964
43 38 1
43 39 14
43 40 38
43 41 868
43 42 45
43 43 229554
43 44 103013
43 45 46
43 46 276
43 47 492
43 48 53
43 49 1531
43 50 14
43 51 23
43 52 84
43 53 264
43 54 54951
43 55 172
43 56 2553
43 57 2056
43 58 53
43 59 399
43 60 172
43 61 37
44 0 4
44 1 8
44 2 18
44 3 6610
44 4 137
44 5 11
44 6 218
44 7 333
44 8 225
44 9 16
44 10 4
44 11 12288
44 12 2
44 13 4
44 14 1209
44 15 6
44 16 21112
44 17 239
44 18 15
44 19 30
44 20 44
44 21 67
44 22 82
44 23 16
44 24 93
44 25 17
44 26 57
44 27 1095
44 28 1169
44 29 14
44 30 3
44 31 21
44 32 3
44 33 35
44 35 23
44 36 31
44 37 33776
44 38 1
44 39 23
44 40 80
44 41 860
44 42 37
44 43 11563
44 44 493004
44 45 134
44 46 206
44 47 654
44 48 90
44 49 1138
44 51 42
44 52 41
44 53 184
44 54 28928
44 55 131
44 56 2116
44 57 2377
44 58 42
44 59 330
44 60 142
44 61 29
45 0 8
45 1 42
45 2 79
45 3 214
45 4 3
45 5 5
45 6 67
45 7 24
45 8 41
45 9 8
45 10 47
45 11 98
45 12 72
45 13 9
45 14 259
45 15 64
45 16 33
45 17 123
45 18 210
45 19 38
45 20 360
45 21 87
45 22 15
45 23 18
45 24 23
45 25 25
45 26 6
45 27 21
45 28 36831
45 29 2
45 30 7
45 31 21
45 32 403
45 33 10
45 35 15
45 36 47
45 37 55
45 38 1
45 39 72
45 40 31
45 41 2230
45 42 11
45 43 324
45 44 717
45 45 30632
45 46 131
45 47 673
45 48 194
45 49 72
45 50 927
45 51 53
45 52 14
45 53 3
45 54 85
45 55 15
45 56 15
45 57 39
45 58 13
45 59 29
45 60 36
45 61 1
46 0 9
46 1 66
46 2 62
46 3 553
46 4 55
46 5 46
46 6 119
46 7 166
46 8 152
46 9 34
46 10 51
46 11 393
46 12 4
46 13 19
46 14 1150
46 15 19
46 16 107
46 17 438
46 18 15
46 19 156
46 20 62
46 21 108
46 22 746
46 23 148
46 24 77
46 25 144
46 26 100
46 27 309
46 28 473
46 29 45
46 30 53
46 31 349
46 32 34
46 33 44
46 34 21
46 35 2024
46 36 424
46 37 207
46 38 282
46 39 38
46 40 2759
46 41 750
46 42 533
46 43 436
46 44 1246
46 45 69
46 46 46524
46 47 5120
46 48 125
46 49 354
46 50 9
46 51 528
46 52 552
46 53 24
46 54 318
46 55 227
46 56 54
46 57 124
46 58 133
46 59 520
46 60 331
46 61 193
47 0 51
47 1 378
47 2 213
47 3 805
47 4 68
47 5 295
47 6 910
47 7 137
47 8 163
47 9 17
47 10 423
47 11 767
47 12 45
47 13 98
47 14 1662
47 15 61
47 16 187
47 17 1466
47 18 98
47 19 2384
47 20 143
47 21 451
47 22 365
47 23 93
47 24 81
47 25 972
47 26 68
47 27 244
47 28 2590
47 29 224
47 30 73
47 31 130
47 32 139
47 33 40
47 34 10
47 35 272
47 36 712
47 37 345
47 38 61
47 39 125
47 40 2058
47 41 5339
47 42 118
47 43 556
47 44 2423
47 45 295
47 46 3011
47 47 119899
47 48 867
47 49 493
47 50 23
47 51 2948
47 52 258
47 53 40
47 54 506
47 55 191
47 56 69
47 57 232
47 58 231
47 59 447
47 60 342
47 61 205
48 0 25
48 1 1078
48 2 341
48 3 125
48 4 5
48 5 4
48 6 225
48 7 19
48 8 15
48 10 1791
48 11 136
48 12 55
48 13 553
48 14 170
48 15 88
48 16 11
48 17 120
48 18 82
48 19 297
48 20 86
48 21 183
48 22 11
48 23 19
48 24 1
48 25 44
48 26 9
48 27 24
48 28 1265
48 29 2
48 30 7
48 31 15
48 32 149
48 33 7
48 35 13
48 36 56
48 37 30
48 38 6
48 39 598
48 40 24
48 41 13045
48 42 9
48 43 106
48 44 404
48 45 184
48 46 115
48 47 896
48 48 15572
48 49 53
48 50 42
48 51 116
48 52 28
48 53 2
48 54 70
48 55 16
48 56 8
48 57 20
48 58 26
48 59 62
48 60 38
48 61 6
49 0 4
49 1 37
49 2 67
49 3 2041
49 4 1597
49 5 5
49 6 87
49 7 2445
49 8 121
49 9 23
49 10 29
49 11 6966
49 12 15
49 13 3
49 14 1287
49 15 30
49 16 1887
49 17 309
49 18 26
49 19 43
49 20 35
49 21 112
49 22 66
49 23 48
49 24 163
49 25 44
49 26 39
49 27 5750
49 28 312
49 29 14
49 30 22
49 31 59
49 32 17
49 33 159
49 34 4
49 35 49
49 36 61
49 37 2398
49 38 17
49 39 26
49 40 37
49 41 464
49 42 71
49 43 2205
49 44 13322
49 45 54
49 46 208
49 47 609
49 48 63
49 49 56726
49 50 8
49 51 60
49 52 108
49 53 592
49 54 2335
49 55 216
49 56 386
49 57 6963
49 58 34
49 59 420
49 60 267
49 61 58
50 0 3
50 1 19
50 2 51
50 3 48
50 4 2
50 5 5
50 6 39
50 7 4
50 8 4
50 10 54
50 11 54
50 12 129
50 13 4
50 14 80
50 15 33
50 16 3
50 17 40
50 18 43
50 19 23
50 20 33
50 21 29
50 22 4
50 23 8
50 24 2
50 25 11
50 26 5
50 27 8
50 28 1778
50 30 3
50 31 3
50 32 839
50 33 1
50 35 6
50 36 18
50 37 15
50 38 3
50 39 138
50 40 11
50 41 4205
50 42 5
50 43 49
50 44 151
50 45 828
50 46 42
50 47 200
50 48 177
50 49 22
50 50 4775
50 51 28
50 52 15
50 53 2
50 54 23
50 55 6
50 56 5
50 57 10
50 58 14
50 59 19
50 60 17
50 61 3
51 0 14
51 1 85
51 2 52
51 3 216
51 4 15
51 5 56
51 6 135
51 7 43
51 8 45
51 9 4
51 10 349
51 11 182
51 12 12
51 13 14
51 14 406
51 15 29
51 16 50
51 17 328
51 18 19
51 19 469
51 20 32
51 21 115
51 22 106
51 23 38
51 24 18
51 25 103
51 26 25
51 27 63
51 28 678
51 29 41
51 30 16
51 31 39
51 32 35
51 33 14
51 34 1
51 35 88
51 36 733
51 37 73
51 38 94
51 39 48
51 40 342
51 41 1147
51 42 36
51 43 148
51 44 600
51 45 87
51 46 915
51 47 14432
51 48 257
51 49 139
51 50 8
51 51 13740
51 52 68
51 53 12
51 54 108
51 55 71
51 56 20
51 57 52
51 58 87
51 59 118
51 60 87
51 61 47
52 0 1
52 1 2
52 2 28
52 3 247
52 4 117
52 5 19
52 6 45
52 7 191
52 8 55
52 9 14
52 10 9
52 11 134
52 12 2
52 13 4
52 14 736
52 15 12
52 16 39
52 17 520
52 18 3
52 19 11
52 20 7
52 21 25
52 22 1000
52 23 7
52 24 66
52 25 40
52 26 1165
52 27 94
52 28 71
52 29 8
52 30 11
52 31 140
52 32 3
52 33 73
52 34 1
52 35 328
52 36 20
52 37 171
52 38 6
52 39 12
52 40 134
52 41 90
52 42 181
52 43 182
52 44 343
52 45 13
52 46 856
52 47 146
52 48 18
52 49 137
52 50 2
52 51 14
52 52 8729
52 53 21
52 54 140
52 55 108
52 56 44
52 57 99
52 58 15
52 59 196
52 60 327
52 61 321
53 1 5
53 2 3
53 3 937
53 4 49
53 5 2
53 6 28
53 7 171
53 8 34
53 9 9
53 11 10866
53 12 1
53 13 2
53 14 228
53 16 947
53 17 37
53 18 1
53 19 6
53 20 3
53 21 12
53 22 6
53 23 5
53 24 43
53 25 7
53 26 7
53 27 1714
53 28 70
53 29 5
53 30 5
53 31 8
53 33 21
53 34 1
53 35 9
53 36 3
53 37 503
53 38 2
53 40 6
53 41 60
53 42 16
53 43 1037
53 44 5277
53 45 7
53 46 31
53 47 114
53 48 13
53 49 696
53 51 16
53 52 18
53 53 6416
53 54 789
53 55 54
53 56 125
53 57 472
53 58 1
53 59 76
53 60 47
53 61 3
54 0 4
54 1 3
54 2 25
54 3 22087
54 4 290
54 5 26
54 6 173
54 7 395
54 8 227
54 9 19
54 10 4
54 11 14827
54 12 1
54 13 3
54 14 1503
54 15 13
54 16 20202
54 17 259
54 18 43
54 19 20
54 20 48
54 21 100
54 22 18
54 23 29
54 24 92
54 25 28
54 26 38
54 27 1190
54 28 1027
54 29 14
54 30 11
54 31 25
54 32 13
54 33 56
54 34 1
54 35 28
54 36 17
54 37 76969
54 39 10
54 40 56
54 41 750
54 42 68
54 43 81340
54 44 316809
54 45 113
54 46 215
54 47 708
54 48 66
54 49 1884
54 50 6
54 51 19
54 52 62
54 53 358
54 54 236164
54 55 163
54 56 4274
54 57 2957
54 58 38
54 59 305
54 60 200
54 61 54
55 0 7
55 1 15
55 2 16
55 3 599
55 4 44
55 5 12
55 6 63
55 7 228
55 8 442
55 9 292
55 10 7
55 11 525
55 13 3
55 14 20793
55 15 7
55 16 99
55 17 179
55 18 10
55 19 27
55 20 14
55 21 52
55 22 30
55 23 73
55 24 822
55 25 25
55 26 16
55 27 382
55 28 290
55 29 34
55 30 17
55 31 153
55 32 6
55 33 196
55 34 2
55 35 34
55 36 48
55 37 215
55 38 11
55 39 16
55 40 36
55 41 476
55 42 172
55 43 596
55 44 1832
55 45 31
55 46 294
55 47 569
55 48 58
55 49 326
55 50 3
55 51 36
55 52 88
55 53 29
55 54 312
55 55 14618
55 56 63
55 57 123
55 58 44
55 59 3915
55 60 2755
55 61 73
56 1 1
56 2 9
56 3 2931
56 4 57
56 5 4
56 6 35
56 7 77
56 8 46
56 9 2
56 11 2350
56 12 2
56 14 334
56 16 2264
56 17 76
56 18 6
56 19 11
56 20 12
56 21 30
56 22 5
56 23 5
56 24 20
56 25 18
56 26 11
56 27 277
56 28 158
56 29 1
56 31 9
56 33 23
56 35 7
56 36 12
56 37 22265
56 39 2
56 40 4
56 41 132
56 42 12
56 43 5849
56 44 45359
56 45 19
56 46 67
56 47 174
56 48 10
56 49 440
56 51 8
56 52 17
56 53 74
56 54 7656
56 55 39
56 56 43676
56 57 665
56 58 2
56 59 67
56 60 58
56 61 6
57 1 31
57 2 18
57 3 1945
57 4 154
57 5 9
57 6 52
57 7 250
57 8 29
57 9 3
57 10 6
57 11 10142
57 13 4
57 14 500
57 15 5
57 16 2972
57 17 99
57 18 6
57 19 13
57 20 4
57 21 43
57 22 13
57 23 24
57 24 62
57 25 18
57 26 18
57 27 614
57 28 178
57 29 4
57 30 5
57 31 20
57 32 5
57 33 60
57 34 1
57 35 6
57 36 9
57 37 3028
57 38 4
57 39 9
57 40 14
57 41 186
57 42 22
57 43 2419
57 44 15615
57 45 29
57 46 96
57 47 310
57 48 34
57 49 3325
57 51 30
57 52 34
57 53 183
57 54 2464
57 55 84
57 56 455
57 57 44485
57 58 6
57 59 164
57 60 102
57 61 16
58 0 2
58 1 20
58 2 45
58 3 91
58 4 11
58 5 7
58 6 41
58 7 74
58 8 77
58 9 20
58 10 27
58 11 41
58 12 7
58 13 2
58 14 291
58 15 16
58 16 13
58 17 87
58 18 15
58 19 58
58 20 18
58 21 38
58 22 53
58 23 327
58 24 16
58 25 27
58 26 17
58 27 40
58 28 214
58 29 124
58 30 945
58 31 71
58 32 22
58 33 14
58 34 5
58 35 53
58 36 1301
58 37 17
58 38 242
58 39 19
58 40 63
58 41 352
58 42 42
58 43 50
58 44 198
58 45 44
58 46 388
58 47 697
58 48 70
58 49 82
58 50 10
58 51 157
58 52 42
58 53 2
58 54 28
58 55 82
58 56 4
58 57 12
58 58 16970
58 59 158
58 60 115
58 61 23
59 0 5
59 1 43
59 2 37
59 3 624
59 4 56
59 5 21
59 6 86
59 7 319
59 8 4732
59 9 1438
59 10 36
59 11 537
59 12 7
59 13 8
59 14 18377
59 15 23
59 16 112
59 17 283
59 18 19
59 19 71
59 20 39
59 21 83
59 22 61
59 23 107
59 24 272
59 25 49
59 26 52
59 27 419
59 28 430
59 29 72
59 30 39
59 31 764
59 32 30
59 33 172
59 34 25
59 35 110
59 36 146
59 37 229
59 38 17
59 39 19
59 40 50
59 41 691
59 42 923
59 43 566
59 44 1769
59 45 47
59 46 492
59 47 1032
59 48 113
59 49 387
59 50 8
59 51 62
59 52 130
59 53 37
59 54 349
59 55 3804
59 56 56
59 57 139
59 58 112
59 59 32782
59 60 8266
59 61 108
60 0 2
60 1 20
60 2 22
60 3 577
60 4 35
60 5 14
60 6 63
60 7 180
60 8 425
60 9 78
60 10 10
60 11 500
60 12 2
60 13 2
60 14 17833
60 15 7
60 16 117
60 17 151
60 18 9
60 19 27
60 20 19
60 21 62
60 22 25
60 23 64
60 24 151
60 25 38
60 26 14
60 27 329
60 28 253
60 29 26
60 30 18
60 31 260
60 32 12
60 33 91
60 34 6
60 35 44
60 36 41
60 37 209
60 38 6
60 39 13
60 40 37
60 41 496
60 42 910
60 43 568
60 44 1851
60 45 36
60 46 292
60 47 546
60 48 63
60 49 308
60 50 1
60 51 30
60 52 125
60 53 29
60 54 302
60 55 2382
60 56 38
60 57 130
60 58 49
60 59 4916
60 60 19930
60 61 201
61 1 2
61 2 10
61 3 95
61 4 53
61 5 11
61 6 21
61 7 110
61 8 23
61 9 3
61 10 4
61 11 70
61 12 2
61 14 837
61 15 7
61 16 41
61 17 162
61 18 1
61 19 6
61 20 2
61 21 16
61 22 75
61 23 12
61 24 25
61 25 21
61 26 333
61 27 53
61 28 36
61 29 7
61 30 5
61 31 160
61 32 4
61 33 217
61 35 68
61 36 13
61 37 90
61 38 5
61 39 2
61 40 38
61 41 47
61 42 287
61 43 85
61 44 193
61 45 4
61 46 292
61 47 88
61 48 7
61 49 66
61 50 2
61 51 12
61 52 414
61 53 10
61 54 74
61 55 73
61 56 21
61 57 53
61 58 6
61 59 121
61 60 527
61 61 2456
