73	3556
0	0	524
0	1	26
0	2	71
0	5	26
0	6	185
0	7	11
0	8	41
0	9	23
0	10	20
0	11	8
0	13	104
0	14	26
0	15	17
0	16	92
0	17	74
0	19	739
0	20	17
0	21	38
0	22	44
0	27	23
0	28	47
0	30	107
0	31	17
0	32	38
0	33	5
0	34	53
0	35	407
0	37	20
0	38	5
0	40	101
0	42	26
0	43	2
0	44	20
0	45	38
0	47	11
0	49	2
0	50	2
0	51	8
0	55	41
0	56	2
0	57	14
0	58	17
0	59	2
0	60	164
0	61	74
0	64	14
0	65	83
0	67	107
0	68	8
0	70	167
0	71	32
1	0	11
1	1	1498
1	2	1261
1	3	15
1	5	340
1	6	4
1	7	887
1	8	642
1	9	326
1	10	844
1	11	18
1	12	18
1	13	4113
1	14	380
1	15	378
1	16	2029
1	17	425
1	19	272
1	20	624
1	21	905
1	22	687
1	23	4
1	27	412
1	30	76
1	31	657
1	32	360
1	33	139
1	34	509
1	35	304
1	37	168
1	38	27
1	40	103
1	41	9
1	42	227
1	43	18
1	44	51
1	45	56
1	47	13
1	49	15
1	50	148
1	51	146
1	54	2
1	56	49
1	57	272
1	58	87
1	59	67
1	60	1365
1	61	2647
1	62	47
1	64	22
1	65	2277
1	67	3850
1	68	238
1	70	2669
1	71	369
1	72	2
2	0	7
2	1	442
2	2	1698
2	5	193
2	6	7
2	7	770
2	8	466
2	9	113
2	10	352
2	11	16
2	12	21
2	13	3244
2	14	260
2	15	217
2	16	898
2	17	299
2	19	210
2	20	408
2	21	500
2	22	333
2	27	205
2	28	2
2	29	12
2	30	43
2	31	372
2	32	181
2	33	67
2	34	425
2	35	265
2	37	280
2	38	14
2	40	94
2	41	4
2	42	183
2	44	26
2	45	31
2	46	7
2	47	12
2	49	12
2	50	91
2	51	74
2	52	2
2	56	38
2	57	142
2	58	48
2	59	62
2	60	1053
2	61	1835
2	62	99
2	64	16
2	65	1862
2	67	1715
2	68	178
2	70	1304
2	71	128
4	1	29
4	2	42
4	4	89
4	5	15
4	7	67
4	8	22
4	9	6
4	10	29
4	13	414
4	14	472
4	15	22
4	16	199
4	17	17
4	19	4
4	20	17
4	21	38
4	22	62
4	23	107
4	24	29
4	25	31
4	27	29
4	31	87
4	32	38
4	34	11
4	35	17
4	36	4
4	37	13
4	38	40
4	40	4
4	41	109
4	42	1059
4	43	2
4	44	4
4	46	2
4	48	2
4	49	214
4	50	223
4	51	11
4	56	4
4	57	22
4	58	8
4	59	87
4	60	98
4	61	82
4	65	94
4	67	85
4	68	51
4	69	6
4	70	89
4	71	31
4	72	4
5	0	4
5	1	650
5	2	948
5	3	18
5	5	2195
5	6	4
5	7	657
5	8	511
5	9	506
5	10	2218
5	11	22
5	12	105
5	13	3993
5	14	490
5	15	435
5	16	4304
5	17	424
5	19	256
5	20	472
5	21	586
5	22	1460
5	23	9
5	27	614
5	29	2
5	30	55
5	31	582
5	32	1026
5	33	311
5	34	371
5	35	201
5	37	100
5	38	20
5	40	100
5	41	6
5	42	194
5	43	77
5	44	64
5	45	27
5	46	6
5	47	13
5	49	16
5	50	139
5	51	213
5	55	2
5	56	61
5	57	334
5	58	254
5	59	41
5	60	1636
5	61	1462
5	62	64
5	64	41
5	65	1895
5	67	3431
5	68	249
5	70	2189
5	71	758
6	0	90
6	1	37
6	2	12
6	3	3
6	5	3
6	6	165
6	7	6
6	8	6
6	9	12
6	10	6
6	11	3
6	13	81
6	14	6
6	15	3
6	16	49
6	17	37
6	19	140
6	20	3
6	21	12
6	22	9
6	27	12
6	28	28
6	30	12
6	31	6
6	32	6
6	33	6
6	34	24
6	35	190
6	36	3
6	37	3
6	40	43
6	42	6
6	43	3
6	44	3
6	45	46
6	46	3
6	49	3
6	50	9
6	51	3
6	55	15
6	56	3
6	57	9
6	58	3
6	60	71
6	61	28
6	62	3
6	64	6
6	65	18
6	67	31
6	68	3
6	70	90
7	1	200
7	2	359
7	5	142
7	7	1099
7	8	324
7	9	104
7	10	346
7	11	8
7	12	41
7	13	2107
7	14	277
7	15	233
7	16	1044
7	17	107
7	19	104
7	20	442
7	21	293
7	22	414
7	23	5
7	27	299
7	29	10
7	30	21
7	31	494
7	32	288
7	33	32
7	34	140
7	35	90
7	37	57
7	38	13
7	40	38
7	41	16
7	42	184
7	43	8
7	44	16
7	45	10
7	47	2
7	49	8
7	50	68
7	51	101
7	54	2
7	56	63
7	57	170
7	58	24
7	59	13
7	60	362
7	61	631
7	62	13
7	64	19
7	65	434
7	67	914
7	68	153
7	70	598
7	71	258
8	0	4
8	1	307
8	2	714
8	3	2
8	4	2
8	5	133
8	7	1105
8	8	1204
8	9	112
8	10	326
8	11	27
