100	6217
0	0	877
0	1	122
0	2	8
0	3	27
0	4	232
0	5	13
0	7	142
0	8	117
0	9	21
0	10	2
0	11	448
0	12	158
0	13	71
0	14	163
0	15	191
0	16	191
0	17	62
0	18	98
0	19	243
0	20	2
0	21	174
0	25	19
0	27	71
0	28	2
0	29	57
0	30	256
0	31	177
0	32	289
0	33	13
0	34	2
0	35	32
0	36	661
0	37	21
0	38	19
0	39	278
0	40	1120
0	41	396
0	44	81
0	45	5
0	46	106
0	47	139
0	48	76
0	50	27
0	51	8
0	52	2
0	53	16
0	54	68
0	55	114
0	56	65
0	57	21
0	62	180
0	64	32
0	65	5
0	66	81
0	67	191
0	68	2
0	69	5
0	70	114
0	71	833
0	73	76
0	74	60
0	77	125
0	78	158
0	79	5
0	80	60
0	81	27
0	82	30
0	83	87
0	86	612
0	87	218
0	91	2
0	92	109
0	93	27
0	95	5
0	96	62
0	97	49
0	99	2
1	0	15
1	1	3755
1	2	4
1	3	298
1	4	1248
1	5	37
1	7	494
1	8	642
1	9	92
1	10	2
1	11	1102
1	12	819
1	13	1117
1	14	404
1	15	408
1	16	527
1	17	64
1	18	633
1	19	1007
1	20	6
1	21	956
1	25	307
1	27	242
1	28	8
1	29	178
1	30	744
1	31	1135
1	32	3825
1	34	70
1	35	13
1	36	1186
1	37	101
1	38	57
1	39	481
1	40	5840
1	41	4038
1	44	313
1	45	6
1	46	1482
1	47	494
1	48	4
1	49	8
1	50	97
1	51	108
1	52	6
1	54	609
1	55	77
1	56	220
1	57	55
1	58	28
1	62	726
1	64	234
1	65	64
1	66	1698
1	67	2303
1	69	15
1	70	1398
1	71	989
1	73	390
1	74	448
1	77	342
1	78	1855
1	79	24
1	80	439
1	81	371
1	82	57
1	83	563
1	84	19
1	86	1974
1	87	815
1	91	11
1	92	894
1	93	90
1	95	15
1	96	236
1	97	459
1	98	2
1	99	4
2	0	8
2	1	32
2	2	131
2	7	32
2	8	16
2	9	8
2	11	49
2	12	32
2	13	8
2	14	16
2	16	16
2	17	8
2	19	16
2	22	8
2	27	8
2	30	8
2	31	16
2	32	24
2	34	8
2	35	8
2	36	24
2	37	8
2	38	98
2	39	1132
2	40	65
2	41	57
2	43	16
2	44	8
2	45	8
2	46	8
2	47	16
2	53	8
2	54	8
2	62	172
2	67	16
2	70	16
2	71	49
2	72	8
2	73	8
2	74	8
2	76	8
2	78	16
2	79	16
2	80	32
