56 2980
9 44 104
9 45 1646
9 46 163
9 47 235
9 48 76
9 49 5
9 50 8
9 51 711
9 52 16
9 53 1
9 54 274
9 55 32
10 0 130
10 1 387
10 2 239
10 3 1022
10 4 609
10 5 320
10 6 57
10 7 237
10 8 83
10 9 930
10 11 105
10 12 32
10 13 1
10 14 8
10 15 703
10 16 570
10 17 666
10 18 306
10 19 841
10 20 133
10 21 123
10 22 3307
10 23 100
10 24 365
10 25 265
10 26 271
10 27 1274
10 28 641
10 29 437
10 30 139
10 31 2
10 32 238
10 33 78
10 34 84
10 35 33
10 36 70
10 37 230
10 38 5
10 39 184
10 40 72
10 41 26
10 42 8
10 43 129
10 44 124
10 45 1902
10 46 200
10 47 193
10 48 101
10 49 7
10 50 4
10 51 744
10 52 6
10 53 4
10 54 262
10 55 23
11 0 19
11 1 89
11 2 26
11 3 222
11 4 87
11 5 817
11 6 127
11 7 562
11 8 16
11 9 95
11 10 188
11 12 67
11 13 3
11 14 17
11 15 614
11 16 407
11 17 388
11 18 215
11 19 794
11 20 107
11 21 146
11 22 1969
11 23 105
11 24 117
11 25 479
11 26 184
11 27 667
11 28 190
11 29 233
11 30 80
11 31 10
11 32 284
11 33 105
11 34 148
11 35 88
11 36 54
11 37 128
11 38 8
11 39 82
11 40 26
11 41 11
11 42 13
11 43 130
11 44 101
11 45 1160
11 46 102
11 47 86
11 48 122
11 49 13
11 50 9
11 51 419
11 52 10
11 53 3
11 54 67
11 55 49
12 0 4
12 1 60
12 2 18
12 3 140
12 4 42
12 5 478
12 6 99
12 7 357
12 8 8
12 9 54
12 10 126
12 11 140
12 13 4
12 14 18
12 15 462
12 16 301
12 17 244
12 18 112
12 19 761
12 20 77
12 21 116
12 22 1096
12 23 44
12 24 99
12 25 265
12 26 164
12 27 396
12 28 117
12 29 132
12 30 41
12 31 8
12 32 278
12 33 75
12 34 148
12 35 68
12 36 59
12 37 133
12 38 7
12 39 44
12 40 13
12 41 12
12 42 2
12 43 85
12 44 91
12 45 985
12 46 66
12 47 68
12 48 154
12 49 12
12 50 3
12 51 208
12 52 6
12 54 23
12 55 33
13 0 2
13 1 8
13 2 4
13 3 17
13 4 12
13 5 59
13 6 20
13 7 57
13 8 2
13 9 9
13 10 21
13 11 18
13 12 17
13 14 1
13 15 69
13 16 39
13 17 35
13 18 25
13 19 107
13 20 12
13 21 17
13 22 173
13 23 11
13 24 17
13 25 47
13 26 31
13 27 59
13 28 15
13 29 21
13 30 10
13 31 2
13 32 43
13 33 14
13 34 25
13 35 10
13 36 4
13 37 24
13 39 9
13 40 3
13 43 31
13 44 15
13 45 173
13 46 15
13 47 15
13 48 30
13 50 1
13 51 45
13 52 3
13 54 3
13 55 7
14 0 4
14 1 15
14 2 4
14 3 41
14 4 17
14 5 120
14 6 23
14 7 70
14 9 14
14 10 20
14 11 56
14 12 24
14 15 90
14 16 53
14 17 64
14 18 28
14 19 176
14 20 25
14 21 33
14 22 297
14 23 16
14 24 26
14 25 84
14 26 28
14 27 109
14 28 25
14 29 30
14 30 23
14 31 2
14 32 46
14 33 11
14 34 16
14 35 19
14 36 12
14 37 24
14 39 16
14 40 1
14 42 4
14 43 20
14 44 18
14 45 228
14 46 19
14 47 13
14 48 34
14 49 1
14 50 2
14 51 71
14 53 1
14 54 18
14 55 9
15 0 42
15 1 134
15 2 24
15 3 271
15 4 93
15 5 577
15 6 59
15 7 294
15 8 17
15 9 108
15 10 146
15 11 172
15 12 15
15 13 2
15 14 2
15 16 444
15 17 462
15 18 404
15 19 381
15 20 147
15 21 121
15 22 2307
15 23 171
15 24 102
15 25 288
15 26 206
15 27 602
15 28 205
15 29 320
15 30 107
15 31 7
15 32 118
15 33 80
15 34 122
15 35 33
15 36 44
15 37 88
15 38 2
15 39 112
15 40 45
15 41 18
15 42 4
15 43 57
15 44 84
15 45 478
15 46 92
15 47 65
15 48 81
15 49 22
15 50 3
15 51 452
15 52 5
15 53 5
15 54 94
15 55 3
16 0 29
16 1 99
16 2 20
16 3 181
16 4 62
16 5 250
16 6 36
16 7 233
16 8 14
16 9 116
16 10 123
16 11 65
16 12 17
16 14 4
16 15 564
16 17 810
16 18 317
16 19 412
16 20 172
16 21 116
16 22 2678
16 23 73
16 24 127
16 25 174
16 26 254
16 27 798
16 28 132
16 29 222
16 30 63
16 31 11
16 32 171
16 33 46
16 34 73
16 35 21
