84	4841
0	0	672
0	1	1
0	2	64
0	3	276
0	4	23
0	5	109
0	6	269
0	7	9
0	8	23
0	9	40
0	10	49
0	11	7
0	13	56
0	14	25
0	15	12
0	18	31
0	19	185
0	20	207
0	21	95
0	25	12
0	26	910
0	28	7
0	29	262
0	31	47
0	33	29
0	34	29
0	35	1
0	36	51
0	39	40
0	40	190
0	43	808
0	44	3
0	46	40
0	47	60
0	48	78
0	49	31
0	53	29
0	54	67
0	55	947
0	56	252
0	59	69
0	60	119
0	61	45
0	62	54
0	65	300
0	66	117
0	67	23
0	68	135
0	69	1
0	70	51
0	71	9
0	72	144
0	75	5
0	76	9
0	78	1
0	79	370
0	80	161
0	82	54
0	83	5
1	0	198
1	1	754
1	2	34
1	3	141
1	4	3
1	5	53
1	6	175
1	7	247
1	8	26
1	9	45
1	10	26
1	11	26
1	12	3
1	13	3285
1	14	38
1	15	7
1	16	53
1	18	26
1	19	114
1	20	57
1	21	34
1	22	3
1	24	11
1	25	19
1	26	278
1	28	19
1	29	179
1	31	64
1	32	278
1	33	11
1	34	15
1	35	11
1	36	22
1	38	7
1	39	34
1	40	144
1	42	7
1	43	331
1	44	7
1	45	3
1	46	15
1	47	30
1	48	95
1	49	80
1	51	7
1	53	22
1	54	34
1	55	415
1	56	80
1	59	26
1	60	34
1	61	26
1	62	34
1	63	3
1	65	453
1	66	53
1	67	41
1	68	76
1	69	3
1	70	45
1	71	19
1	72	110
1	74	22
1	75	15
1	76	11
1	77	3
1	78	11
1	79	114
1	80	95
1	81	3
1	82	41
1	83	3
2	0	1464
2	1	3
2	2	2756
2	3	1382
2	4	132
2	5	812
2	6	3122
2	7	12
2	8	495
2	9	280
2	10	286
2	11	172
2	13	344
2	14	872
2	15	160
2	16	9
2	18	866
2	19	1404
2	20	691
2	21	141
2	24	3
2	25	377
2	26	2512
2	28	338
2	29	730
2	31	999
2	32	9
2	33	223
2	34	69
2	35	24
2	36	347
2	38	6
2	39	274
2	40	2004
2	43	2886
2	44	111
2	46	344
2	47	637
2	48	549
2	49	546
2	50	24
2	51	30
2	53	443
2	54	446
2	55	2506
2	56	468
2	57	3
2	58	6
2	59	208
2	60	392
2	61	694
2	62	1011
2	63	9
2	64	6
2	65	709
2	66	437
2	67	241
2	68	933
2	69	33
2	70	1023
2	71	437
2	72	2774
2	75	129
2	76	66
2	79	902
2	80	766
2	81	3
2	82	1023
2	83	6
3	0	524
3	1	6
3	2	395
3	3	3469
3	4	235
3	5	508
3	6	836
3	7	6
3	8	147
3	9	330
3	10	619
3	11	107
3	13	165
3	14	223
3	15	95
3	16	3
3	17	3
3	18	153
3	19	1719
3	20	943
3	21	119
3	25	153
3	26	1143
3	28	95
3	29	1026
3	31	159
3	32	3
3	33	383
3	34	113
3	35	6
3	36	361
3	38	3
3	39	487
3	40	1241
3	41	3
3	43	1035
3	44	61
3	46	177
3	47	652
3	48	723
3	49	119
