90	6206
0	0	2689
0	1	3
0	3	85
0	4	28
0	6	14
0	7	118
0	8	17
0	9	121
0	10	14
0	11	3
0	12	665
0	13	336
0	14	78
0	15	100
0	16	1094
0	17	64
0	18	572
0	19	39
0	20	257
0	21	3
0	23	532
0	24	35
0	25	82
0	26	92
0	27	107
0	29	50
0	30	28
0	32	146
0	33	128
0	34	7
0	35	42
0	36	92
0	39	389
0	40	121
0	41	668
0	42	21
0	43	71
0	45	32
0	47	42
0	49	879
0	51	46
0	52	139
0	53	386
0	54	50
0	55	39
0	56	364
0	57	39
0	58	135
0	59	75
0	60	92
0	61	128
0	62	32
0	63	75
0	64	57
0	66	386
0	67	225
0	68	25
0	69	110
0	70	178
0	71	665
0	72	114
0	74	7
0	75	1208
0	76	382
0	77	207
0	78	933
0	79	146
0	81	582
0	82	17
0	84	17
0	85	171
0	86	60
0	87	67
0	88	71
0	89	17
1	0	23
1	1	13
1	3	59
1	4	3
1	6	3
1	7	49
1	8	3
1	9	62
1	10	9
1	11	6
1	12	62
1	13	138
1	14	92
1	15	36
1	16	39
1	17	13
1	19	9
1	20	72
1	23	89
1	24	3
1	25	13
1	26	36
1	27	66
1	29	6
1	30	3
1	32	43
1	33	3
1	34	39
1	35	33
1	36	56
1	37	23
1	39	39
1	40	6
1	41	23
1	42	39
1	43	36
1	47	6
1	49	82
1	50	6
1	51	16
1	52	19
1	53	33
1	55	16
1	56	86
1	57	19
1	59	6
1	60	36
1	61	19
1	62	23
1	63	9
1	64	9
1	66	122
1	67	33
1	68	9
1	69	16
1	70	19
1	71	29
1	72	26
1	74	72
1	75	6
1	76	6
1	77	13
1	78	16
1	79	43
1	80	3
1	81	301
1	84	13
1	85	19
1	86	9
1	87	66
1	88	19
2	0	2
2	3	12
2	6	2
2	9	2
2	12	5
2	13	5
2	14	10
2	15	12
2	16	7
2	20	43
2	23	10
2	25	2
2	26	7
2	27	5
2	32	2
2	35	7
2	36	2
2	39	7
2	43	7
2	44	5
2	45	2
2	49	7
2	51	7
2	53	2
2	55	30
2	56	7
2	60	7
2	63	2
2	66	22
2	67	2
2	72	15
2	77	2
2	78	2
2	81	27
2	82	2
2	84	2
2	85	2
2	86	2
2	88	7
3	0	72
3	1	4
3	3	5938
3	6	28
3	7	349
3	8	8
3	9	984
3	10	263
3	11	179
3	12	594
3	13	1426
3	14	2596
3	15	3417
3	16	238
3	17	159
3	18	15
3	19	90
3	20	2397
3	21	4
3	23	758
3	24	4
3	25	453
3	26	767
3	27	2519
3	28	19
3	29	170
3	30	2
3	32	420
3	33	185
3	34	174
3	35	3001
3	36	345
3	37	13
3	39	692
3	40	28
3	41	205
3	42	33
3	43	1088
3	44	6
3	45	150
3	47	126
3	49	541
3	50	79
3	51	303
3	52	48
3	53	285
3	55	471
3	56	962
3	57	265
3	58	4
3	59	176
3	60	303
3	61	161
3	62	502
3	63	643
3	64	431
3	66	3107
3	67	413
3	68	75
3	69	325
3	70	86
3	71	267
3	72	1008
3	74	37
3	75	77
3	76	35
3	77	130
3	78	59
3	79	415
3	81	5651
3	82	139
3	83	2
3	84	913
3	85	115
3	86	95
3	87	342
3	88	123
3	89	13
4	0	88
4	3	3
4	4	228
4	7	7
4	9	14
4	12	117
4	13	66
4	14	25
4	15	22
4	16	239
4	17	14
4	18	290
4	20	58
4	23	77
4	24	33
4	25	29
4	26	7
4	27	18
4	29	14
4	30	11
4	32	25
4	33	14
4	35	11
4	36	7
4	39	47
4	40	18
4	41	103
4	43	7
4	45	3
4	47	14
4	49	114
4	51	7
4	52	11
4	53	99
4	55	3
4	56	58
4	57	3
4	58	106
4	59	7
4	61	3
4	63	7
4	64	18
4	66	47
4	67	22
4	68	3
4	69	3
4	70	80
4	71	88
4	72	22
4	74	3
4	75	231
4	76	7
4	77	14
4	78	224
4	79	33
4	81	58
4	84	3
4	85	22
4	86	11
4	87	18
4	88	3
5	3	31
5	5	39
5	6	206
5	8	3
5	9	11
5	12	15
5	13	27
5	14	15
5	15	43
5	16	11
5	17	3
5	18	3
5	20	198
5	21	103
5	22	7
5	23	11
5	24	3
5	25	135
5	26	19
5	27	15
5	28	3
5	29	27
5	32	3
5	35	7
5	39	3
5	40	3
5	41	15
5	43	15
5	44	3
5	45	23
5	47	7
5	49	3
5	51	27
5	53	3
5	55	27
5	56	99
5	57	3
5	59	71
5	60	35
5	62	11
5	63	59
5	64	59
5	66	91
5	67	11
5	69	11
5	70	7
5	71	7
5	72	119
5	73	3
5	77	3
5	79	11
5	81	119
5	82	11
5	83	63
5	85	7
5	86	27
5	87	3
5	88	3
6	0	14
6	1	2
6	3	132
6	5	10
6	6	2840
6	7	40
6	8	153
6	9	87
6	10	34
6	11	4
6	12	318
6	13	151
6	14	117
6	15	109
6	16	89
6	17	27
6	18	10
6	19	40
6	20	1040
6	21	25
6	22	8
6	23	173
6	25	1087
6	26	141
6	27	185
6	28	160
6	29	104
6	30	4
6	32	211
6	33	21
6	34	4
6	35	51
6	36	64
6	39	247
6	40	29
6	41	94
6	43	115
6	44	6
6	45	205
6	47	113
6	49	113
6	50	4
6	51	151
6	52	4
6	53	175
6	55	138
6	56	609
6	57	38
6	59	611
6	60	224
6	61	49
6	62	91
6	63	247
6	64	322
6	65	8
6	66	579
6	67	149
6	68	23
6	69	89
6	70	70
6	71	98
6	72	859
6	73	98
6	75	19
6	76	4
6	77	44
6	78	19
6	79	117
6	81	874
6	82	74
6	83	25
6	84	19
6	85	34
6	86	215
6	87	38
6	88	123
6	89	14
7	0	28
7	1	4
7	3	427
7	6	30
7	7	1430
7	8	7
7	9	404
7	10	140
7	11	11
7	12	838
7	13	2310
7	14	481
7	15	308
7	16	250
7	17	254
7	18	30
7	19	210
7	20	1018
7	23	1198
7	24	2
7	25	226
7	26	376
7	27	560
7	28	4
7	29	116
7	30	4
7	32	436
7	33	656
7	34	30
7	35	189
7	36	528
7	37	9
7	39	885
7	40	70
7	41	450
7	42	144
7	43	149
7	45	56
7	47	98
7	49	824
7	50	7
7	51	203
7	52	28
7	53	429
7	55	77
7	56	1025
7	57	236
7	58	2
7	59	95
7	60	366
7	61	163
7	62	250
7	63	324
7	64	165
7	66	1817
7	67	775
7	68	84
7	69	233
7	70	105
7	71	322
7	72	493
7	74	18
7	75	84
7	76	65
7	77	172
7	78	60
7	79	698
7	81	2813
7	82	42
7	84	25
7	85	322
7	86	51
7	87	299
7	88	161
7	89	28
8	3	57
8	6	237
8	7	15
8	8	347
8	9	25
8	10	12
8	12	115
8	13	57
8	14	52
8	15	27
8	16	25
8	17	12
8	18	5
8	19	10
8	20	446
8	21	7
8	22	5
8	23	60
8	24	5
8	25	237
8	26	47
8	27	63
8	28	12
8	29	55
8	32	55
8	33	7
8	34	7
8	35	27
8	36	22
8	37	2
8	39	98
8	40	7
8	41	10
8	42	2
8	43	78
8	44	27
8	45	90
8	47	15
8	49	40
8	51	75
8	52	2
8	53	45
8	55	121
8	56	128
8	57	25
8	59	98
8	60	78
8	61	15
8	62	78
8	63	148
8	64	98
8	65	7
8	66	181
8	67	50
8	68	2
8	69	15
8	70	2
8	71	37
8	72	716
8	73	2
8	74	2
8	75	7
8	76	2
8	77	12
8	78	5
8	79	47
8	81	350
8	82	57
8	83	25
8	84	2
8	85	17
8	86	47
8	87	22
8	88	37
8	89	5
9	0	52
9	1	10
9	3	816
9	6	68
9	7	628
9	8	18
9	9	2195
9	10	455
9	11	5
9	12	960
9	13	1847
9	14	1117
9	15	557
9	16	329
9	17	368
9	18	20
9	19	109
9	20	2038
9	23	1138
9	24	7
9	25	465
9	26	900
9	27	1640
9	28	7
9	29	274
9	30	7
9	32	533
9	33	337
9	34	122
9	35	238
9	36	667
9	37	10
9	38	2
9	39	1025
9	40	65
9	41	345
9	42	60
9	43	591
9	44	7
9	45	102
9	47	162
9	49	821
9	50	7
9	51	269
9	52	39
9	53	405
9	54	2
9	55	109
9	56	1318
9	57	591
9	58	2
9	59	222
9	60	463
9	61	201
9	62	379
9	63	740
9	64	248
9	66	2883
9	67	842
9	68	130
9	69	337
9	70	130
9	71	353
9	72	889
9	74	7
9	75	81
9	76	44
9	77	222
9	78	44
9	79	672
9	81	4825
9	82	133
9	84	60
9	85	230
9	86	115
9	87	497
9	88	261
9	89	44
10	0	16
10	1	8
10	3	400
10	6	43
10	7	129
10	8	13
10	9	815
10	10	435
10	11	8
10	12	274
10	13	583
10	14	761
10	15	285
10	16	80
10	17	75
10	18	5
10	19	26
10	20	629
10	22	2
10	23	290
10	25	123
10	26	215
10	27	721
10	28	2
10	29	59
10	30	2
10	32	131
10	33	78
10	34	61
10	35	145
10	36	164
10	37	10
10	39	274
10	40	16
10	41	94
10	42	29
10	43	196
10	44	5
10	45	43
10	47	88
10	49	201
10	51	61
10	52	10
10	53	126
10	55	94
10	56	403
10	57	115
10	58	2
10	59	56
10	60	139
10	61	51
10	62	137
10	63	193
10	64	83
10	66	866
10	67	266
10	68	37
10	69	126
10	70	18
10	71	94
10	72	330
10	73	2
10	74	10
10	75	16
10	76	18
10	77	53
10	78	16
10	79	182
10	81	1355
10	82	26
10	83	2
10	84	48
10	85	26
10	86	37
10	87	142
10	88	56
10	89	5
11	0	6
11	2	2
11	3	672
11	6	4
11	7	48
11	8	6
11	9	101
11	10	35
11	11	158
11	12	63
11	13	143
11	14	255
11	15	331
11	16	10
11	17	12
11	18	4
11	19	8
11	20	251
11	21	2
11	23	56
11	25	54
11	26	105
11	27	265
11	29	10
11	30	2
11	32	54
11	33	16
11	34	21
11	35	734
11	36	35
11	37	4
11	39	88
11	40	2
11	41	29
11	43	130
11	44	4
11	45	18
11	47	14
11	49	69
11	50	25
11	51	25
11	52	6
11	53	44
11	55	111
11	56	78
11	57	16
11	59	18
11	60	27
11	61	12
11	62	61
11	63	69
11	64	42
11	66	280
11	67	54
11	68	8
11	69	25
11	70	16
11	71	46
11	72	111
11	74	4
11	75	10
11	76	2
11	77	18
11	79	40
11	81	713
11	82	14
11	84	101
11	85	6
11	86	8
11	87	56
11	88	25
11	89	2
12	0	46
12	3	215
12	4	2
12	6	36
12	7	151
12	8	2
12	9	205
12	10	30
12	12	8149
12	13	709
12	14	189
12	15	145
12	16	907
12	17	219
12	18	54
12	19	110
12	20	828
12	21	4
12	23	1163
12	24	34
12	25	157
12	26	409
12	27	258
12	28	10
12	29	110
12	30	18
12	32	881
12	33	141
12	34	10
12	35	62
12	36	149
12	39	3081
12	40	165
12	41	639
12	42	22
12	43	84
12	45	78
12	47	205
12	49	1226
12	50	2
12	51	118
12	52	28
12	53	1996
12	54	2
12	55	30
12	56	2633
12	57	100
12	58	6
12	59	153
12	60	520
12	61	965
12	62	104
12	63	385
12	64	266
12	65	2
12	66	2462
12	67	806
12	68	435
12	69	451
12	70	915
12	71	711
12	72	274
12	73	2
12	75	129
12	76	40
12	77	1129
12	78	100
12	79	284
12	81	4972
12	82	14
12	84	18
12	85	137
12	86	181
12	87	86
12	88	808
12	89	36
13	0	51
13	1	11
13	3	424
13	6	42
13	7	1118
13	8	13
13	9	741
13	10	167
13	11	6
13	12	1049
13	13	3482
13	14	488
13	15	390
13	16	285
13	17	261
13	18	29
13	19	214
13	20	1359
13	21	2
13	23	1185
13	24	2
13	25	296
13	26	513
13	27	890
13	28	2
13	29	151
13	30	4
13	32	517
13	33	493
13	34	60
13	35	234
13	36	651
13	37	2
13	39	1107
13	40	46
13	41	437
13	42	80
13	43	238
13	44	4
13	45	71
13	47	125
13	49	866
13	50	6
13	51	209
13	52	66
13	53	477
13	55	109
13	56	1254
13	57	408
13	58	2
13	59	116
13	60	484
13	61	241
13	62	312
13	63	466
13	64	261
13	66	2467
13	67	857
13	68	113
13	69	372
13	70	104
13	71	430
13	72	555
13	74	4
13	75	55
13	76	46
13	77	147
13	78	26
13	79	850
13	81	4170
13	82	40
13	83	2
13	84	53
13	85	386
13	86	84
13	87	375
13	88	200
13	89	35
14	0	21
14	1	12
14	3	1508
14	4	4
14	6	34
14	7	420
14	8	10
14	9	1358
14	10	463
14	11	12
14	12	912
14	13	1613
14	14	2890
14	15	1010
14	16	311
14	17	246
14	18	12
14	19	141
14	20	2006
14	23	869
14	24	8
14	25	351
14	26	669
14	27	2240
14	28	2
14	29	180
14	30	8
14	32	515
14	33	326
14	34	605
14	35	495
14	36	414
14	37	8
14	39	944
14	40	40
14	41	304
14	42	55
14	43	641
14	44	10
14	45	90
14	47	182
14	49	699
14	50	6
14	51	306
14	52	30
14	53	347
14	55	195
14	56	1223
14	57	276
14	58	2
14	59	130
14	60	457
14	61	197
14	62	354
14	63	504
14	64	367
14	65	2
14	66	2611
14	67	663
14	68	75
14	69	336
14	70	103
14	71	324
14	72	847
14	74	30
14	75	81
14	76	36
14	77	152
14	78	38
14	79	478
14	81	5571
14	82	98
14	83	4
14	84	163
14	85	124
14	86	94
14	87	532
14	88	169
14	89	21
15	0	46
15	1	2
15	3	3426
15	6	41
15	7	236
15	8	16
15	9	604
15	10	192
15	11	85
15	12	426
15	13	831
15	14	1486
15	15	2565
15	16	131
15	17	125
15	18	9
15	19	83
15	20	1678
15	21	2
15	23	456
15	24	4
15	25	282
15	26	493
15	27	1757
15	28	4
15	29	157
15	30	9
15	32	268
15	33	162
15	34	111
15	35	1368
15	36	194
15	37	6
15	39	497
15	40	34
15	41	171
15	42	30
15	43	798
15	44	4
15	45	69
15	47	74
15	48	2
15	49	351
15	50	34
15	51	224
15	52	30
15	53	180
15	55	296
15	56	523
15	57	150
15	58	6
15	59	115
15	60	199
15	61	90
15	62	291
15	63	435
15	64	224
15	66	1981
15	67	291
15	68	48
15	69	171
15	70	41
15	71	131
15	72	676
15	74	4
15	75	53
15	76	34
15	77	57
15	78	32
15	79	273
15	81	3621
15	82	104
15	84	344
15	85	74
15	86	60
15	87	199
15	88	97
15	89	6
16	0	173
16	3	186
16	4	7
16	5	3
16	6	58
16	7	181
16	8	3
16	9	169
16	10	58
16	12	2844
16	13	741
16	14	186
16	15	173
16	16	6567
16	17	194
16	18	169
16	19	149
16	20	547
16	21	1
16	22	1
16	23	1413
16	24	165
16	25	227
16	26	173
16	27	311
16	28	5
16	29	91
16	30	276
16	32	451
16	33	186
16	34	23
16	35	40
16	36	173
16	39	1623
16	40	658
16	41	1337
16	42	31
16	43	134
16	44	3
16	45	56
16	47	149
16	49	1571
16	50	1
16	51	93
16	52	54
16	53	741
16	54	3
16	55	68
16	56	1103
16	57	52
16	58	75
16	59	192
16	60	276
16	61	389
16	62	130
16	63	190
16	64	140
16	66	1059
16	67	772
16	68	181
16	69	221
16	70	839
16	71	1824
16	72	290
16	73	1
16	75	309
16	76	136
16	77	613
16	78	282
16	79	315
16	81	1835
16	82	19
16	83	1
16	84	5
16	85	270
16	86	194
16	87	130
16	88	340
16	89	15
17	0	18
17	1	1
17	3	159
17	6	15
17	7	196
17	8	11
17	9	308
17	10	75
17	11	1
17	12	1181
17	13	723
17	14	179
17	15	162
17	16	267
17	17	725
17	18	18
17	19	113
17	20	787
17	23	920
17	25	242
17	26	441
17	27	342
17	28	3
17	29	155
17	30	9
17	32	509
17	33	170
17	34	13
17	35	85
17	36	416
17	37	1
17	39	1409
17	40	37
17	41	350
17	42	15
17	43	128
17	44	1
17	45	39
17	47	147
17	49	577
17	51	151
17	52	15
17	53	522
17	55	35
17	56	1236
17	57	157
17	58	3
17	59	151
17	60	424
17	61	195
17	62	168
17	63	441
17	64	178
17	66	2602
17	67	1441
17	68	104
17	69	710
17	70	130
17	71	255
17	72	393
17	75	41
17	76	22
17	77	149
17	78	20
17	79	340
17	81	3933
17	82	30
17	84	13
17	85	160
17	86	41
17	87	90
17	88	185
17	89	30
18	0	869
18	3	74
18	4	152
18	6	20
18	7	88
18	8	6
18	9	84
18	10	16
18	12	445
18	13	237
18	14	91
18	15	81
18	16	1219
18	17	27
18	18	2208
18	19	23
18	20	176
18	23	387
18	24	30
18	25	67
18	26	47
18	27	115
18	28	6
18	29	37
18	30	50
18	32	101
18	33	91
18	34	3
18	35	33
18	36	33
18	37	3
18	39	241
18	40	78
18	41	516
18	42	16
18	43	71
18	45	40
18	47	27
18	49	540
18	51	27
18	52	47
18	53	315
18	54	3
18	55	27
18	56	207
18	57	16
18	58	404
18	59	27
18	60	61
18	61	78
18	62	37
18	63	122
18	64	40
18	66	251
18	67	166
18	68	16
18	69	57
18	70	214
18	71	499
18	72	95
18	74	3
18	75	2160
18	76	84
18	77	166
18	78	2575
18	79	98
18	81	322
18	82	3
18	84	13
18	85	74
18	86	44
18	87	54
18	88	71
18	89	6
19	3	9
19	6	2
19	7	34
19	9	18
19	10	6
19	12	65
19	13	67
19	14	20
19	15	6
19	16	16
19	17	30
19	18	2
19	19	44
19	20	46
19	23	102
19	25	6
19	26	30
19	27	30
19	28	2
19	29	2
19	32	25
19	33	41
19	34	2
19	35	4
19	36	18
19	39	79
19	40	6
19	41	27
19	42	2
19	43	2
19	45	2
19	49	74
19	51	6
19	53	32
19	56	55
19	57	11
19	59	9
19	60	32
19	61	18
19	62	13
19	63	18
19	64	18
19	66	144
19	67	55
19	68	4
19	69	27
19	70	4
19	71	30
19	72	18
19	75	6
19	76	9
19	77	6
19	78	2
19	79	62
19	81	199
19	82	2
19	85	44
19	87	13
19	88	6
19	89	2
20	0	27
20	2	2
20	3	381
20	6	211
20	7	168
20	8	52
20	9	444
20	10	148
20	11	5
20	12	587
20	13	713
20	14	404
20	15	349
20	16	178
20	17	178
20	18	15
20	19	42
20	20	5032
20	21	2
20	22	5
20	23	562
20	25	786
20	26	454
20	27	806
20	28	22
20	29	545
20	32	505
20	33	92
20	34	22
20	35	138
20	36	261
20	37	2
20	39	610
20	40	52
20	41	170
20	42	12
20	43	507
20	44	15
20	45	336
20	47	427
20	49	291
20	50	5
20	51	605
20	52	7
20	53	379
20	55	464
20	56	1331
20	57	258
20	58	2
20	59	502
20	60	608
20	61	173
20	62	698
20	63	746
20	64	897
20	66	1449
20	67	419
20	68	103
20	69	180
20	70	65
20	71	178
20	72	2366
20	73	12
20	74	5
20	75	57
20	76	10
20	77	125
20	78	37
20	79	296
20	81	2299
20	82	221
20	83	5
20	84	35
20	85	65
20	86	113
20	87	135
20	88	211
20	89	15
21	3	20
21	5	49
21	6	237
21	8	37
21	9	20
21	12	12
21	13	8
21	14	16
21	15	33
21	16	12
21	20	191
21	21	133
21	22	4
21	23	16
21	25	112
21	26	12
21	27	29
21	28	20
21	29	4
21	32	16
21	35	16
21	36	8
21	39	8
21	41	8
21	43	16
21	44	12
21	45	33
21	47	8
21	49	8
21	51	24
21	55	20
21	56	66
21	59	41
21	60	12
21	62	24
21	63	37
21	64	49
21	65	4
21	66	83
21	67	12
21	69	4
21	71	8
21	72	112
21	76	4
21	79	12
21	81	108
21	82	20
21	83	70
21	84	4
21	86	45
21	87	16
21	88	24
21	89	4
22	3	19
22	5	2
22	6	64
22	7	4
22	8	56
22	9	7
22	10	4
22	11	4
22	12	9
22	13	24
22	14	22
22	15	17
22	16	4
22	18	2
22	19	12
22	20	64
22	21	2
22	22	12
22	23	12
22	25	49
22	26	17
22	27	22
22	28	4
22	32	12
22	33	2
22	35	4
22	36	9
22	39	4
22	40	2
22	41	4
22	43	19
22	44	22
22	45	12
22	47	7
22	49	17
22	51	12
22	53	22
22	55	44
22	56	32
22	57	2
22	59	17
22	60	9
22	61	2
22	62	7
22	63	2
22	64	14
22	65	4
22	66	14
22	67	14
22	69	2
22	70	7
22	71	9
22	72	113
22	75	2
22	77	7
22	78	2
22	79	2
22	81	74
22	82	9
22	83	12
22	86	7
22	87	4
22	88	2
23	0	41
23	1	1
23	3	92
23	5	1
23	6	35
23	7	157
23	8	1
23	9	118
23	10	27
23	11	1
23	12	1323
23	13	522
23	14	133
23	15	70
23	16	413
23	17	177
23	18	13
23	19	86
23	20	354
23	23	1512
23	24	5
23	25	110
23	26	220
23	27	189
23	28	7
23	29	80
23	30	5
23	32	307
23	33	200
23	34	27
23	35	49
23	36	133
23	39	1706
23	40	53
23	41	486
23	42	15
23	43	63
23	45	15
23	47	70
23	49	1010
23	51	55
23	52	21
23	53	526
23	54	1
23	55	23
23	56	823
23	57	53
23	58	7
23	59	68
23	60	226
23	61	240
23	62	76
23	63	183
23	64	84
23	66	1239
23	67	728
23	68	133
23	69	234
23	70	161
23	71	453
23	72	149
23	73	1
23	75	43
23	76	49
23	77	197
23	78	19
23	79	222
23	81	2192
23	82	21
23	84	11
23	85	179
23	86	43
23	87	53
23	88	153
23	89	9
24	0	17
24	3	24
24	4	2
24	6	7
24	7	17
24	9	17
24	10	2
24	12	260
24	13	84
24	14	27
24	15	17
24	16	629
24	17	7
24	18	12
24	19	7
24	20	54
24	23	74
24	24	153
24	25	12
24	26	7
24	27	19
24	28	2
24	29	2
24	30	203
24	32	32
24	33	7
24	34	2
24	35	4
24	36	14
24	39	123
24	40	76
24	41	84
24	42	2
24	45	7
24	47	29
24	49	91
24	51	4
24	52	2
24	53	76
24	55	4
24	56	101
24	57	9
24	58	2
24	59	9
24	60	14
24	61	29
24	62	9
24	63	32
24	64	7
24	66	61
24	67	39
24	68	7
24	69	4
24	70	188
24	71	136
24	72	32
24	75	27
24	76	9
24	77	94
24	78	22
24	79	19
24	81	109
24	82	7
24	84	2
24	85	27
24	86	22
24	87	12
24	88	27
24	89	2
25	0	24
25	1	4
25	3	259
25	6	1209
25	7	117
25	8	84
25	9	224
25	10	61
25	11	4
25	12	816
25	13	453
25	14	274
25	15	272
25	16	179
25	17	131
25	18	10
25	19	76
25	20	2817
25	21	8
25	22	8
25	23	492
25	24	4
25	25	3034
25	26	383
25	27	449
25	28	76
25	29	335
25	30	4
25	32	709
25	33	78
25	34	16
25	35	150
25	36	129
25	39	692
25	40	32
25	41	204
25	42	6
25	43	230
25	44	22
25	45	620
25	47	292
25	49	371
25	51	455
25	52	10
25	53	519
25	55	290
25	56	1508
25	57	105
25	58	2
25	59	1040
25	60	535
25	61	206
25	62	319
25	63	686
25	64	1001
25	65	4
25	66	1760
25	67	315
25	68	117
25	69	257
25	70	119
25	71	265
25	72	2407
25	73	8
25	75	63
25	76	16
25	77	105
25	78	24
25	79	152
25	81	3314
25	82	125
25	83	12
25	84	45
25	85	59
25	86	169
25	87	53
25	88	276
25	89	18
26	0	2
26	3	146
26	6	2
26	7	73
26	8	7
26	9	265
26	10	53
26	12	159
26	13	202
26	14	184
26	15	121
26	16	70
26	17	65
26	18	10
26	19	20
26	20	495
26	23	240
26	25	48
26	26	298
26	27	273
26	29	45
26	32	98
26	33	37
26	34	7
26	35	50
26	36	91
26	39	177
26	40	7
26	41	60
26	42	2
26	43	174
26	44	2
26	45	17
26	47	50
26	49	121
26	51	55
26	52	10
26	53	78
26	54	2
26	55	25
26	56	298
26	57	55
26	59	43
26	60	103
26	61	22
26	62	88
26	63	144
26	64	88
26	66	604
26	67	149
26	68	17
26	69	106
26	70	32
26	71	58
26	72	169
26	75	15
26	76	2
26	77	37
26	78	10
26	79	58
26	81	1133
26	82	40
26	84	12
26	85	25
26	86	27
26	87	43
26	88	50
26	89	17
27	0	42
27	1	14
27	3	2328
27	4	4
27	6	92
27	7	554
27	8	38
27	9	1323
27	10	457
27	11	59
27	12	1004
27	13	2023
27	14	2445
27	15	1707
