79	4898
0	0	600
0	2	25
0	3	167
0	4	22
0	5	148
0	6	205
0	7	694
0	9	12
0	10	101
0	12	60
0	13	331
0	14	135
0	16	593
0	17	363
0	18	15
0	19	252
0	20	78
0	21	53
0	22	6
0	23	75
0	24	300
0	25	221
0	27	533
0	29	735
0	31	3
0	32	94
0	33	167
0	34	202
0	35	151
0	36	271
0	38	9
0	39	217
0	40	75
0	41	154
0	43	22
0	44	37
0	45	9
0	46	120
0	47	110
0	48	799
0	49	72
0	50	53
0	51	78
0	52	129
0	53	6
0	54	337
0	55	110
0	56	88
0	57	126
0	58	47
0	59	9
0	60	224
0	61	6
0	62	644
0	64	300
0	65	3
0	67	262
0	69	44
0	70	110
0	71	15
0	72	268
0	73	47
0	76	192
0	77	6
0	78	410
1	0	1
1	3	13
1	6	1
1	7	1
1	9	1
1	10	1
1	12	19
1	13	6
1	16	8
1	17	8
1	19	3
1	20	1
1	23	3
1	24	13
1	25	8
1	29	13
1	33	4
1	34	14
1	36	1
1	39	6
1	41	6
1	43	3
1	47	4
1	48	11
1	51	3
1	52	1
1	54	4
1	55	6
1	56	1
1	62	1
1	64	1
1	67	1
1	70	1
2	0	19
2	3	39
2	5	177
2	7	39
2	10	19
2	12	19
2	13	19
2	16	39
2	17	19
2	18	19
2	19	19
2	20	39
2	21	78
2	24	59
2	27	78
2	29	98
2	31	19
2	32	19
2	34	78
2	35	39
2	36	59
2	39	19
2	40	19
2	41	39
2	43	19
2	44	39
2	46	59
2	47	39
2	48	59
2	49	39
2	51	78
2	52	19
2	54	118
2	55	138
2	56	19
2	59	19
2	60	39
2	62	216
2	64	177
2	67	39
2	69	19
2	70	39
2	72	433
2	76	19
2	78	138
3	0	27
3	1	1
3	2	3
3	3	217
3	5	41
3	6	41
3	7	93
3	9	3
3	10	11
3	12	151
3	13	211
3	14	45
3	16	103
3	17	95
3	18	1
3	19	75
3	20	47
3	21	35
3	23	45
3	24	213
3	25	65
3	26	1
3	27	277
3	29	111
3	30	5
3	31	1
3	32	33
3	33	19
3	34	301
3	35	23
3	36	73
3	38	5
3	39	63
3	40	23
3	41	83
3	42	1
3	43	39
3	44	13
3	45	9
3	46	45
3	47	81
3	48	279
3	49	23
3	50	53
3	51	29
3	52	21
3	53	1
3	54	145
3	55	199
3	56	73
3	57	9
3	58	5
3	59	3
3	60	19
3	61	1
3	62	147
3	64	79
3	67	81
3	69	5
3	70	25
3	71	1
3	72	49
3	73	11
3	76	53
3	77	3
3	78	99
4	0	7
4	3	3
4	4	18
4	6	7
4	7	7
4	10	11
4	12	7
4	14	3
4	16	7
4	17	7
4	19	41
4	24	7
4	27	3
4	29	7
4	31	11
4	32	3
4	33	7
4	34	3
4	35	3
4	36	7
4	41	7
4	44	3
4	46	3
4	48	7
4	52	3
4	54	22
4	55	3
4	60	3
4	62	11
4	64	7
4	67	11
4	70	30
4	72	3
4	73	7
4	74	3
4	76	3
4	78	15
5	0	89
5	1	2
5	2	43
5	3	226
5	5	5408
5	6	152
5	7	370
5	8	2
5	9	66
5	10	51
5	12	112
5	13	359
5	14	120
5	16	433
5	17	252
5	18	137
5	19	160
5	20	2088
5	21	2027
5	22	2
5	23	77
5	24	244
5	25	175
5	27	594
5	29	588
5	30	54
5	31	2
5	32	180
5	33	172
5	34	272
5	35	97
5	36	180
5	38	40
5	39	390
5	40	86
5	41	404
5	42	68
5	43	74
5	44	40
5	45	20
5	46	80
5	47	209
5	48	746
5	49	77
5	50	86
5	51	310
5	52	160
5	53	123
5	54	298
5	55	232
5	56	117
5	57	34
5	58	2297
5	59	8
5	60	80
5	61	20
5	62	514
5	64	1013
5	66	2
5	67	353
5	69	11
5	70	68
5	71	2
5	72	482
5	73	54
5	75	14
5	76	287
5	77	14
5	78	327
6	0	399
6	2	20
6	3	276
6	4	17
6	5	171
6	6	825
6	7	658
6	9	15
6	10	181
6	12	89
6	13	399
6	14	97
6	16	858
6	17	468
6	18	33
6	19	604
6	20	135
6	21	94
6	22	5
6	23	140
6	24	415
6	25	471
6	27	1071
6	29	766
6	30	10
6	32	105
6	33	228
6	34	279
6	35	94
6	36	768
6	38	12
6	39	192
6	40	187
6	41	230
6	42	2
6	43	28
6	44	92
6	45	5
6	46	179
6	47	110
6	48	1148
6	49	79
6	50	56
6	51	105
6	52	133
6	53	7
6	54	989
6	55	176
6	56	302
6	57	51
6	58	46
6	59	10
6	60	97
6	61	7
6	62	592
6	64	289
6	65	7
6	67	261
6	69	46
6	70	292
6	71	7
6	72	253
6	73	38
6	76	530
6	77	2
6	78	1140
7	0	124
7	1	6
7	2	31
7	3	234
7	4	3
7	5	196
7	6	218
7	7	1092
7	10	78
7	12	28
7	13	518
7	14	121
7	16	708
7	17	396
7	18	21
7	19	355
7	20	152
7	21	74
7	22	15
7	23	174
7	24	334
7	25	187
7	26	3
7	27	646
7	28	6
7	29	458
7	30	9
7	32	53
7	33	393
7	34	259
7	35	56
7	36	290
7	38	12
7	39	187
7	40	90
7	41	162
7	42	6
7	43	18
7	44	59
7	45	28
7	46	106
7	47	174
7	48	1439
7	49	37
7	50	62
7	51	99
7	52	162
7	53	21
7	54	384
7	55	121
7	56	137
7	57	62
7	58	31
7	59	18
7	60	71
7	61	6
7	62	721
7	64	412
7	65	3
7	67	471
7	69	24
7	70	99
7	71	3
7	72	274
7	73	21
7	75	3
7	76	368
7	77	9
7	78	412
8	0	40
8	3	30
8	5	90
8	6	50
8	7	20
8	8	211
8	9	10
8	10	10
8	12	30
8	13	50
8	14	30
8	16	60
8	17	20
8	18	30
8	19	30
8	20	110
8	21	60
8	24	60
8	25	20
8	27	50
8	29	30
8	30	10
8	31	20
8	32	20
8	33	30
8	34	70
8	35	10
8	39	70
8	40	10
8	41	30
8	42	120
8	44	10
8	45	20
8	46	40
8	47	20
8	48	70
8	49	20
8	50	40
8	51	20
8	52	10
8	53	40
8	54	30
8	55	20
8	56	20
8	57	10
8	60	10
8	62	40
8	64	60
8	66	60
8	67	30
8	70	30
8	75	60
8	76	10
8	77	10
8	78	40
9	0	8
9	2	2
9	3	35
9	5	302
9	6	23
9	7	26
9	8	2
9	9	220
9	10	5
9	12	5
9	13	50
9	14	14
9	16	38
9	17	32
9	18	17
9	19	26
9	20	220
9	21	170
9	24	26
9	25	5
9	27	85
9	28	2
9	29	44
9	30	11
9	32	14
9	33	23
9	34	44
9	35	8
9	36	11
9	38	2
9	39	11
9	40	2
9	41	32
9	42	67
9	43	8
9	44	11
9	46	5
9	47	14
9	48	129
9	49	2
9	50	14
9	51	26
9	52	20
9	53	350
9	54	29
9	55	32
9	56	8
9	58	47
9	60	11
9	61	2
9	62	44
9	64	97
9	67	44
9	69	2
9	70	8
9	72	20
9	73	5
9	75	11
9	76	14
9	78	41
10	0	132
10	2	11
10	3	33
10	4	2
10	5	29
10	6	175
10	7	89
10	10	98
10	12	13
10	13	65
10	14	13
10	16	155
10	17	38
10	18	2
10	19	157
10	20	17
10	21	17
10	23	29
10	24	33
10	25	47
10	27	181
10	29	134
10	31	2
10	32	15
10	33	62
10	34	20
10	35	17
10	36	67
10	38	2
10	39	40
10	40	15
10	41	38
10	43	4
10	44	35
10	45	2
10	46	22
10	47	26
10	48	159
10	49	15
10	50	15
10	51	13
10	52	24
10	53	6
10	54	262
10	55	40
10	56	65
10	57	4
10	58	4
10	59	8
10	60	4
10	62	150
10	64	47
10	67	51
10	69	11
10	70	146
10	71	4
10	72	40
10	73	8
10	75	2
10	76	71
10	78	128
11	0	41
11	2	4
11	3	4
11	4	2
11	5	9
11	6	32
11	7	32
11	10	64
11	11	6
11	12	6
11	13	39
11	14	6
11	16	62
11	17	16
11	18	2
11	19	64
11	20	6
11	21	9
11	23	9
11	24	13
11	25	11
11	27	73
11	29	78
11	30	2
11	32	4
11	33	13
11	34	20
11	35	6
11	36	34
11	39	13
11	40	9
11	41	13
11	42	2
11	44	2
11	46	16
11	47	23
11	48	112
11	49	2
11	50	13
11	51	9
11	52	4
11	53	2
11	54	145
11	55	16
11	56	34
11	57	2
11	58	6
11	59	4
11	60	4
11	61	2
11	62	101
11	64	13
11	65	2
11	67	9
11	69	11
11	70	27
11	72	48
11	73	9
11	76	43
11	77	2
11	78	52
12	0	144
12	1	32
12	2	38
12	3	836
12	4	2
12	5	332
12	6	233
12	7	341
12	8	11
12	9	6
12	10	80
12	12	2467
12	13	660
12	14	178
12	16	465
12	17	398
12	18	89
12	19	204
12	20	220
12	21	176
12	23	185
12	24	891
12	25	353
12	26	25
12	27	1178
12	28	2
12	29	440
12	30	50
12	31	9
12	32	245
12	33	190
12	34	1029
12	35	80
12	36	357
12	37	4
12	38	20
12	39	353
12	40	162
12	41	401
12	42	48
12	43	192
12	44	55
12	45	132
12	46	265
12	47	263
12	48	1169
12	49	52
12	50	515
12	51	153
12	52	128
12	53	29
12	54	460
12	55	1178
12	56	261
12	57	38
12	58	22
12	59	9
12	60	94
12	61	6
12	62	428
12	64	486
12	67	337
12	69	25
12	70	137
12	71	2
12	72	236
12	73	25
12	75	2
12	76	341
12	77	34
12	78	568
13	0	87
13	1	4
13	2	20
13	3	653
13	5	187
13	6	145
13	7	495
13	8	4
13	9	8
13	10	79
13	12	62
13	13	1414
13	14	486
13	16	441
13	17	857
13	18	37
13	19	228
13	20	145
13	21	108
13	22	24
13	23	145
13	24	669
13	25	274
13	27	628
13	28	4
13	29	332
13	30	112
13	31	8
13	32	128
13	33	137
