65	3255
0	0	1079
0	1	206
0	2	10
0	3	85
0	5	233
0	6	60
0	7	153
0	9	17
0	11	7
0	12	246
0	13	213
0	14	47
0	15	455
0	16	198
0	17	25
0	18	322
0	19	344
0	21	877
0	22	867
0	23	138
0	24	2
0	25	95
0	26	52
0	27	103
0	29	135
0	30	462
0	31	37
0	32	85
0	33	7
0	34	95
0	35	2
0	36	143
0	37	362
0	38	515
0	39	196
0	40	7
0	41	25
0	42	739
0	43	2
0	44	135
0	46	389
0	47	10
0	48	767
0	50	10
0	52	143
0	53	316
0	54	415
0	56	103
0	58	17
0	59	42
0	60	246
0	61	5
0	62	118
0	63	47
0	64	7
1	0	339
1	1	2799
1	2	20
1	3	1191
1	5	898
1	6	281
1	7	1733
1	9	39
1	11	25
1	12	632
1	13	681
1	14	481
1	15	251
1	16	507
1	17	97
1	18	123
1	19	81
1	20	2
1	21	114
1	22	3080
1	23	432
1	24	6
1	25	858
1	26	649
1	27	237
1	29	1200
1	30	3229
1	31	13
1	32	30
1	34	1170
1	35	34
1	36	1631
1	37	48
1	38	274
1	39	521
1	40	11
1	41	111
1	42	337
1	44	1144
1	46	1738
1	47	48
1	48	300
1	50	30
1	51	11
1	52	1454
1	53	921
1	54	335
1	55	20
1	56	574
1	58	6
1	59	321
1	60	2427
1	61	27
1	62	632
1	64	13
2	0	72
2	1	228
2	2	423
2	3	86
2	5	72
2	6	43
2	7	133
2	9	246
2	11	36
2	12	155
2	13	199
2	14	21
2	15	65
2	16	61
2	17	18
2	18	65
2	19	47
2	21	123
2	22	398
2	23	47
2	25	50
2	26	108
2	27	112
2	29	86
2	30	249
2	31	10
2	32	7
2	34	43
2	36	86
2	37	47
2	38	36
2	39	65
2	40	3
2	41	36
2	42	57
2	44	97
2	45	3
2	46	195
2	47	115
2	48	43
2	50	333
2	51	3
2	52	159
2	53	101
2	54	162
2	55	3
2	56	130
2	58	3
2	59	18
2	60	191
2	61	7
2	62	50
2	63	3
3	0	284
3	1	1717
3	2	9
3	3	1966
3	5	733
3	6	173
3	7	1435
3	9	16
3	11	32
3	12	488
3	13	364
3	14	335
3	15	169
3	16	390
3	17	28
3	18	89
3	19	86
3	20	9
3	21	101
3	22	2981
3	23	361
3	25	460
3	26	655
3	27	131
3	28	4
3	29	890
3	30	2335
3	31	4
3	32	54
3	33	2
3	34	772
3	35	16
3	36	1750
3	37	46
3	38	190
3	39	390
3	41	82
3	42	202
3	44	1261
3	46	1830
3	47	25
3	48	237
3	50	16
3	51	2
3	52	1693
3	53	646
3	54	284
3	55	14
3	56	352
3	58	7
3	59	199
3	60	3829
3	61	25
3	62	1710
3	63	7
3	64	9
4	0	3
4	1	7
4	2	3
4	3	3
4	5	3
4	7	3
4	9	7
4	11	11
4	12	3
4	13	3
4	15	3
4	18	3
4	19	3
4	21	3
4	22	14
4	25	3
4	26	3
4	27	7
4	30	22
4	41	3
4	44	11
4	51	3
4	52	14
4	53	3
4	56	7
4	59	3
4	60	3
4	61	3
5	0	441
5	1	1010
5	2	13
5	3	448
5	5	2441
5	6	191
5	7	598
5	9	11
5	11	6
5	12	801
5	13	411
5	14	279
5	15	430
5	16	832
5	17	40
5	18	213
5	19	157
5	20	6
5	21	197
5	22	3754
5	23	951
5	24	6
5	25	380
5	26	361
5	27	136
5	29	766
5	30	1713
5	31	27
5	32	38
5	34	596
5	35	36
5	36	867
5	37	65
5	38	309
5	39	1176
5	40	4
5	41	172
5	42	298
5	44	937
5	46	2014
5	47	18
5	48	1747
5	49	2
5	50	13
5	51	4
5	52	537
5	53	1720
5	54	537
5	55	11
5	56	270
5	58	43
5	59	263
5	60	1304
5	61	25
5	62	468
5	63	11
5	64	31
6	0	423
6	1	1043
6	2	4
6	3	597
6	5	534
6	6	666
6	7	1230
6	9	9
6	11	17
6	12	909
6	13	823
6	14	308
6	15	259
6	16	347
6	17	88
6	18	112
6	19	83
6	20	2
6	21	68
6	22	3724
6	23	227
6	25	747
6	26	426
6	27	291
6	29	460
6	30	2036
6	31	14
6	32	14
6	34	460
6	35	24
6	36	634
6	37	34
6	38	235
6	39	370
6	40	4
6	41	63
6	42	267
6	44	573
6	45	2
6	46	2100
6	47	29
6	48	247
6	50	7
6	52	717
6	53	752
6	54	414
6	55	4
6	56	570
6	58	26
6	59	325
6	60	928
6	61	46
6	62	227
6	63	2
6	64	12
7	0	893
7	1	1800
7	2	23
7	3	947
7	5	1143
7	6	638
7	7	3458
7	9	23
7	11	71
7	12	1581
7	13	2283
7	14	397
7	15	473
7	16	643
7	17	345
7	18	207
7	19	159
7	20	4
7	21	150
7	22	8073
7	23	516
7	24	4
7	25	1043
7	26	802
7	27	845
7	28	7
7	29	826
7	30	3312
7	31	35
7	32	59
7	34	824
7	35	61
7	36	1126
7	37	54
7	38	514
7	39	697
7	40	7
7	41	147
7	42	531
7	44	1164
7	46	3593
7	47	61
7	48	502
7	50	30
7	51	2
7	52	1105
7	53	1407
7	54	1009
7	55	11
7	56	1086
7	58	21
7	59	328
7	60	1869
7	61	161
7	62	550
7	63	14
7	64	14
8	5	6
8	9	94
8	11	6
8	12	6
8	13	6
8	19	13
8	21	6
8	22	47
8	25	6
8	44	6
8	45	13
8	46	6
8	47	13
8	48	6
8	50	13
8	52	20
8	54	6
8	56	20
8	59	6
9	0	68
9	1	128
9	2	107
9	3	90
9	5	47
9	6	12
9	7	98
9	8	8
9	9	1542
9	11	270
9	12	124
9	13	72
9	14	12
9	15	30
9	16	38
9	17	17
9	18	30
9	19	64
9	21	72
