96	7488
0	0	5433
0	1	173
0	2	2
0	3	36
0	4	243
0	5	89
0	7	56
0	8	423
0	9	19
0	10	39
0	11	686
0	13	39
0	14	263
0	15	33
0	16	1598
0	17	3229
0	18	975
0	19	16
0	20	218
0	21	50
0	22	162
0	23	358
0	24	5
0	25	504
0	26	445
0	27	8
0	30	58
0	32	215
0	33	2223
0	34	5
0	35	95
0	36	84
0	37	14
0	38	44
0	40	11
0	41	14
0	42	11
0	43	134
0	44	2
0	46	1340
0	47	22
0	48	2060
0	49	1177
0	50	72
0	51	406
0	52	891
0	53	22
0	55	157
0	56	140
0	57	1040
0	58	737
0	59	36
0	60	58
0	61	1399
0	62	1079
0	63	8
0	64	3134
0	65	25
0	66	4191
0	67	591
0	68	336
0	69	392
0	70	30
0	71	277
0	72	30
0	74	633
0	75	751
0	76	117
0	77	36
0	78	527
0	79	754
0	80	2234
0	81	39
0	82	159
0	83	120
0	84	11
0	85	299
0	87	1020
0	88	462
0	89	84
0	91	112
0	92	114
0	93	86
0	94	1107
1	0	225
1	1	8406
1	3	744
1	4	49
1	5	524
1	6	21
1	7	10
1	8	428
1	9	98
1	10	450
1	11	71
1	13	508
1	14	2054
1	15	126
1	16	181
1	17	368
1	18	129
1	19	815
1	20	126
1	21	535
1	22	21
1	23	104
1	24	2
1	25	684
1	26	664
1	27	8
1	28	5
1	30	10
1	32	2241
1	33	241
1	34	5
1	35	2348
1	36	579
1	37	554
1	38	733
1	39	2
1	40	118
1	41	274
1	42	752
1	43	4178
1	44	214
1	46	310
1	47	343
1	48	2777
1	49	96
1	50	961
1	51	3233
1	52	79
1	53	1093
1	54	27
1	55	670
1	56	1464
1	57	431
1	58	85
1	59	255
1	60	942
1	61	167
1	62	5812
1	63	30
1	64	225
1	65	19
1	66	162
1	67	60
1	68	30
1	69	21
1	70	280
1	71	109
1	72	153
1	73	2
1	74	381
1	75	118
1	76	939
1	77	898
1	78	7027
1	79	1390
1	80	337
1	81	837
1	82	1129
1	83	1587
1	84	112
1	85	46
1	86	10
1	87	395
1	88	3280
1	89	6051
1	90	2
1	91	576
1	92	57
1	93	401
1	94	738
1	95	2
2	0	9
2	1	22
2	2	35
2	3	19
2	5	3
2	6	3
2	7	3
2	9	6
2	11	9
2	12	3
2	14	25
2	15	6
2	16	3
2	17	12
2	18	6
2	20	9
2	21	41
2	25	12
2	26	25
2	27	25
2	31	3
2	32	9
2	33	9
2	35	19
2	36	63
2	38	19
2	40	3
2	43	19
2	46	12
2	47	6
2	48	51
2	50	12
2	51	35
2	52	6
2	54	3
2	55	86
2	56	102
2	57	22
2	58	3
2	60	15
2	61	6
2	62	98
2	63	6
2	64	3
2	67	3
2	68	3
2	70	6
2	71	6
2	72	226
2	74	3
2	75	6
2	76	25
2	77	3
2	78	47
2	79	31
2	80	19
2	81	6
2	82	3
2	83	57
2	84	3
2	85	3
2	87	19
2	88	47
2	89	6
2	90	35
2	91	15
2	93	98
2	94	38
3	0	189
3	1	1615
3	2	5
3	3	3161
3	4	66
3	5	399
3	6	7
3	8	478
3	9	204
3	10	360
3	11	71
3	12	2
3	13	1139
3	14	1802
3	15	125
3	16	133
3	17	261
3	18	79
3	19	217
3	20	97
3	21	1331
3	22	20
3	23	102
3	25	509
3	26	837
3	27	28
3	28	12
3	30	5
3	32	1502
3	33	230
3	34	12
3	35	1313
3	36	924
3	37	92
3	38	680
3	39	2
3	40	355
3	41	317
3	42	258
3	43	1679
3	44	168
3	46	199
3	47	765
3	48	2790
3	49	66
3	50	852
3	51	2470
3	52	51
3	53	263
3	54	17
3	55	1315
3	56	2811
3	57	455
3	58	56
3	59	197
3	60	916
3	61	117
3	62	4679
3	63	15
3	64	222
3	65	23
3	66	153
3	67	40
3	68	51
3	69	10
3	70	194
3	71	99
3	72	371
3	74	355
3	75	166
3	76	913
3	77	386
3	78	4613
3	79	1111
3	80	268
3	81	258
3	82	860
3	83	2800
3	84	335
3	85	48
3	87	337
3	88	2334
3	89	1346
3	90	2
3	91	517
3	92	89
3	93	811
3	94	785
3	95	5
4	0	178
4	1	48
4	3	10
4	4	361
4	5	75
4	7	5
4	8	97
4	9	10
4	10	32
4	11	48
4	13	16
4	14	264
4	16	113
4	17	372
4	18	145
4	19	27
4	20	124
4	21	32
4	22	27
4	23	232
