121	13370
0	0	1170
0	1	5
0	2	75
0	3	67
0	4	19
0	5	58
0	6	794
0	7	81
0	8	75
0	9	5
0	10	75
0	11	2
0	12	47
0	13	78
0	14	176
0	15	56
0	16	36
0	17	2
0	18	109
0	19	266
0	20	47
0	21	28
0	22	87
0	23	415
0	24	28
0	25	14
0	26	28
0	27	11
0	28	25
0	29	87
0	30	137
0	31	25
0	32	58
0	33	426
0	34	291
0	35	555
0	36	398
0	37	2
0	38	53
0	39	990
0	40	28
0	41	216
0	42	36
0	43	44
0	44	188
0	46	39
0	47	597
0	48	64
0	49	44
0	51	623
0	52	120
0	53	64
0	54	8
0	55	8
0	56	39
0	57	44
0	58	42
0	59	123
0	60	188
0	61	103
0	62	171
0	63	16
0	64	148
0	65	106
0	66	917
0	67	70
0	68	350
0	69	221
0	70	67
0	71	84
0	72	72
0	73	22
0	74	378
0	75	348
0	76	70
0	77	2010
0	79	606
0	80	1058
0	81	87
0	82	126
0	83	89
0	84	14
0	85	39
0	86	14
0	87	572
0	88	89
0	89	2
0	91	2
0	92	1754
0	94	22
0	95	42
0	96	16
0	97	926
0	98	56
0	99	30
0	100	75
0	101	1375
0	102	39
0	103	42
0	104	16
0	105	16
0	107	39
0	108	11
0	109	11
0	110	11
0	111	14
0	112	39
0	113	828
0	114	81
0	115	42
0	116	16
0	117	70
0	118	84
0	119	1077
0	120	36
1	0	7
1	1	403
1	2	195
1	3	227
1	5	7
1	6	101
1	7	76
1	8	17
1	9	4
1	10	4
1	11	4
1	12	2
1	13	2
1	14	9
1	15	284
1	16	198
1	17	42
1	18	7
1	19	22
1	20	371
1	22	7
1	23	4
1	24	89
1	25	12
1	26	111
1	27	2
1	28	708
1	29	14
1	30	133
1	31	61
1	32	7
1	33	39
1	34	94
1	35	32
1	36	4
1	37	109
1	38	222
1	39	99
1	40	7
1	42	252
1	43	193
1	45	86
1	46	4
1	47	64
1	48	483
1	49	7
1	51	37
1	52	676
1	53	19
1	54	7
1	55	359
1	56	9
1	57	463
1	59	9
1	60	34
1	61	388
1	62	611
1	63	265
1	64	32
1	65	52
1	66	44
1	67	34
1	68	81
1	69	14
1	70	34
1	71	431
1	72	42
1	73	7
1	74	158
1	75	9
1	76	4
1	77	133
1	79	213
1	80	284
1	81	22
1	82	19
1	83	443
1	84	525
1	85	324
1	86	165
1	87	14
1	88	9
1	89	49
1	90	29
1	91	109
1	92	4
1	94	39
1	95	9
1	96	116
1	97	19
1	98	17
1	99	89
1	100	9
1	101	56
1	102	19
1	103	56
1	104	299
1	105	79
1	107	1382
1	108	2
1	109	7
1	110	185
1	112	91
1	113	136
1	114	29
1	115	188
1	116	19
1	117	52
1	119	24
1	120	292
2	0	13
2	1	172
2	2	898
2	3	178
2	4	5
2	6	133
2	7	89
2	8	13
2	9	18
2	10	5
2	12	7
2	14	39
2	15	832
2	16	112
2	17	39
2	18	20
2	19	31
2	20	185
2	22	7
2	23	15
2	24	44
2	25	10
2	26	130
2	27	2
2	28	552
2	29	15
2	30	508
2	31	264
2	32	13
2	33	39
2	34	138
2	35	28
2	36	28
2	37	117
2	38	138
2	39	125
2	40	2
2	41	15
2	42	180
2	43	403
2	44	2
2	45	15
2	46	2
2	47	96
2	48	780
2	49	5
2	51	75
2	52	961
2	53	81
2	54	2
2	55	65
2	56	2
2	57	340
2	58	7
2	59	5
2	60	73
2	61	254
2	62	845
2	63	47
2	64	18
2	65	112
2	66	41
2	67	193
2	68	81
2	69	34
2	70	52
2	71	353
2	72	70
2	73	2
2	74	348
2	75	13
2	76	5
2	77	227
2	78	2
2	79	542
2	80	680
2	81	52
2	82	26
2	83	508
2	84	146
2	85	523
2	86	65
2	87	20
2	88	26
2	89	41
2	90	5
2	91	34
2	92	26
2	93	2
2	94	44
2	95	5
2	96	34
2	97	23
2	98	7
2	99	267
2	100	18
2	101	94
2	102	15
2	103	275
2	104	385
2	105	39
2	107	982
2	108	20
2	109	7
2	110	57
2	111	13
2	112	455
2	113	298
2	114	151
2	115	518
2	116	60
2	117	86
2	119	47
2	120	398
3	0	21
3	1	152
3	2	271
3	3	2037
3	4	7
3	5	26
3	6	288
3	7	273
3	8	29
3	9	9
3	10	9
3	11	2
3	12	9
3	13	7
3	14	43
3	15	256
