96	7777
0	0	847
0	1	964
0	2	64
0	3	46
0	4	1096
0	5	19
0	7	384
0	8	254
0	9	23
0	10	112
0	11	207
0	13	369
0	14	3
0	15	1
0	16	1
0	17	145
0	18	19
0	19	711
0	20	19
0	21	25
0	22	781
0	24	1
0	25	11
0	26	153
0	27	116
0	28	1
0	29	5
0	30	1422
0	31	268
0	32	3
0	33	324
0	34	34
0	35	9
0	36	151
0	37	56
0	38	91
0	39	108
0	41	15
0	42	3
0	43	93
0	44	1848
0	45	522
0	46	612
0	47	9
0	48	151
0	49	99
0	50	1005
0	51	781
0	52	106
0	53	75
0	54	110
0	55	365
0	57	58
0	58	147
0	59	44
0	60	147
0	62	15
0	63	886
0	64	1800
0	65	314
0	66	99
0	67	213
0	68	1331
0	69	13
0	70	116
0	71	200
0	72	342
0	73	344
0	74	31
0	75	211
0	76	690
0	77	11
0	78	106
0	79	7
0	83	151
0	84	346
0	85	56
0	86	21
0	87	3
0	89	104
0	90	64
0	91	31
0	92	931
0	93	480
0	94	101
0	95	29
1	0	89
1	1	608
1	2	4
1	3	13
1	4	321
1	5	2
1	7	141
1	8	78
1	9	6
1	10	58
1	11	89
1	13	105
1	14	4
1	15	4
1	17	69
1	18	4
1	19	287
1	21	22
1	22	83
1	24	2
1	25	6
1	26	47
1	27	31
1	28	2
1	30	278
1	31	53
1	33	85
1	34	4
1	35	2
1	36	31
1	37	8
1	38	26
1	39	22
1	41	2
1	42	2
1	43	60
1	44	859
1	45	460
1	46	181
1	48	35
1	49	31
1	50	145
1	51	159
1	52	40
1	53	4
1	54	22
1	55	92
1	57	8
1	58	29
1	59	17
1	60	51
1	62	4
1	63	181
1	64	586
1	65	62
1	66	8
1	67	56
1	68	278
1	69	4
1	70	26
1	71	35
1	72	83
1	73	130
1	74	13
1	75	74
1	76	336
1	78	42
1	82	2
1	83	44
1	84	148
1	85	13
1	86	11
1	87	2
1	89	17
1	90	15
1	91	11
1	92	489
1	93	175
1	94	20
1	95	2
2	0	79
2	1	191
2	2	1151
2	3	48
2	4	206
2	5	22
2	7	117
2	8	217
2	9	22
2	10	61
2	11	94
2	12	2
2	13	76
2	14	2
2	17	45
2	18	15
2	19	178
2	20	22
2	21	788
2	22	354
2	25	163
2	26	79
2	27	127
2	30	301
2	31	418
2	33	656
2	34	490
2	35	2
2	36	22
2	37	58
2	38	61
2	39	28
2	41	229
2	42	268
2	43	33
2	44	342
2	45	214
2	46	173
2	48	183
2	49	28
2	50	191
2	51	699
2	52	71
2	53	431
2	54	584
2	55	513
2	56	63
2	57	988
2	58	1401
2	59	1057
2	60	91
2	62	22
2	63	311
2	64	237
2	65	183
2	66	20
2	67	125
2	68	250
2	69	12
2	70	1937
2	71	217
2	72	255
2	73	94
2	74	15
2	75	84
2	76	337
2	77	334
2	78	102
2	80	33
2	82	2
2	83	102
2	84	119
2	85	20
2	86	10
2	87	12
2	89	1289
2	90	1388
2	91	20
2	92	211
2	93	278
2	94	51
2	95	7
3	0	278
3	1	609
3	2	54
3	3	1981
3	4	685
3	5	36
3	6	2
3	7	284
3	8	1039
3	9	643
3	10	182
3	11	302
3	13	274
3	14	10
3	15	6
3	16	56
3	17	156
3	18	32
3	19	615
3	20	76
3	21	63
3	22	698
3	24	41
3	25	19
3	26	596
3	27	1448
3	28	6
3	29	2
3	30	1085
3	31	889
3	32	10
3	33	2930
3	34	21
3	35	115
3	36	143
3	37	504
3	38	683
3	39	150
3	41	23
3	42	15
3	43	115
3	44	1094
3	45	559
3	46	844
3	47	78
3	48	787
3	49	108
3	50	567
3	51	1018
3	52	580
3	53	47
3	54	82
3	55	1524
3	56	4
3	57	91
3	58	89
3	59	113
3	60	389
3	62	224
3	63	989
3	64	650
3	65	378
3	66	130
3	67	489
3	68	841
