28	719
19	24	428
19	25	638
19	26	1376
19	27	200
20	0	80
20	1	693
20	2	3
20	3	711
20	4	1614
20	5	43
20	6	2950
20	7	5140
20	9	1432
20	10	271
20	11	2350
20	12	2553
20	13	267
20	14	1983
20	15	40
20	16	378
20	18	927
20	19	1124
20	20	4226
20	21	3560
20	22	113
20	23	2464
20	24	378
20	25	249
20	26	1379
20	27	89
21	0	72
21	1	679
21	2	3
21	3	538
21	4	1129
21	5	26
21	6	2637
21	7	3053
21	9	1091
21	10	129
21	11	1118
21	12	2140
21	13	156
21	14	2007
21	15	34
21	16	209
21	18	755
21	19	572
21	20	1843
21	21	3190
21	22	57
21	23	2026
21	24	339
21	25	190
21	26	1076
21	27	106
22	0	372
22	1	118
22	2	12
22	3	822
22	4	1263
22	5	218
22	6	1803
22	7	2153
22	8	3
22	9	498
22	10	80
22	11	928
22	12	1629
22	13	700
22	14	482
22	15	90
22	16	212
22	17	3
22	18	408
22	19	954
22	20	713
22	21	1038
22	22	1655
22	23	1195
22	24	141
22	25	941
22	26	469
22	27	675
23	0	39
23	1	195
23	2	3
23	3	279
23	4	661
23	5	6
23	6	916
23	7	993
23	9	388
23	10	46
23	11	338
23	12	1252
23	13	79
23	14	358
23	15	9
23	16	73
23	18	209
23	19	405
23	20	418
23	21	634
23	22	39
23	23	1547
23	24	116
23	25	56
23	26	345
23	27	33
24	0	36
24	1	358
24	3	214
24	4	647
24	5	12
24	6	779
24	7	1641
24	9	291
24	10	46
24	11	453
24	12	923
24	13	76
24	14	613
24	15	9
24	16	92
24	18	202
24	19	211
24	20	733
24	21	1061
24	22	30
24	23	1024
24	24	518
24	25	39
24	26	355
24	27	55
25	0	144
25	1	235
25	2	5
25	3	916
25	4	1700
25	5	49
25	6	2463
25	7	3193
25	9	574
25	10	164
25	11	1181
25	12	2277
25	13	374
25	14	727
25	15	76
25	16	347
25	18	505
25	19	1263
25	20	1006
25	21	1246
25	22	377
25	23	1569
25	24	183
25	25	1534
25	26	672
25	27	213
26	0	151
26	1	777
26	2	3
26	3	1432
26	4	1730
26	5	35
26	6	4887
26	7	4361
26	9	3472
26	10	547
26	11	1723
26	12	3757
26	13	421
26	14	3062
26	15	35
26	16	277
26	17	3
26	18	2274
26	19	1158
26	20	2317
26	21	3397
26	22	129
26	23	2936
26	24	424
26	25	266
26	26	3418
26	27	205
27	0	722
27	1	89
27	3	1421
27	4	594
27	5	1383
27	6	1142
27	7	1569
27	8	11
27	9	334
27	10	112
27	11	388
27	12	1507
27	13	2653
27	14	361
27	15	7
27	16	104
27	17	38
27	18	291
27	19	380
27	20	528
27	21	609
27	22	143
27	23	575
27	24	85
27	25	256
27	26	435
27	27	7160
